"","upper","lower","day"
"antigen",0.520903705089204,0.352177006244627,7
"cohort",0.520873737101239,0.352149610324977,7
"assay_date",0.294350452312595,0.172573816650488,7
"IgG1",0.472857072653596,0.30963511285433,7
"IgG2ac",0.590874188251373,0.419319682689042,7
"IgG2b",0.494174384151383,0.32817504161854,7
