"RIX","ID","day","virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC055","42","10","Influenza","HA","7_14vii","2014_09_17",-0.976170041747103,1.28658767330175,1.00694886147187,-0.420228341178425,-0.418376017760531,2.57398641858836
"CC001xCC055","43","10","Influenza","HA","7_14vii","2014_09_17",-0.776732232670765,1.57228225608225,1.08107369339417,-0.970563941452133,-0.874115717518643,3.19596953259359
"CC001xCC055","47","10","Influenza","HA","7_14vii","2014_09_17",-1.92330991329539,1.96813886622243,0.9755064457136,-0.908414292116253,-0.695937091758686,4.07313923297116
"CC001xCC074","163","10","Influenza","HA","3_13iii","2013_12_03",0.684982144230535,1.75709817811967,1.92122181214628,-0.637594915156264,-0.344200466436801,5.28864878213176
"CC001xCC074","179","10","Influenza","HA","3_13iii","2014_01_13",0.397406059043878,1.61976414967581,1.73011632342173,0.0577967534237259,-0.52645208254724,NA
"CC001xCC074","180","10","Influenza","HA","3_13iii","2013_12_03",-0.00256471453706453,1.5767485216657,1.65652291272863,-0.409971307831109,-0.247342623982924,3.88738090198074
"CC002xCC011","20","10","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,3.97515233854188
"CC002xCC011","20","10","Influenza","HA","10_13x","2014_04_22",-1.11541271918233,2.44631322976982,2.2527196545144,-0.428642271396179,-0.405813938195988,NA
"CC002xCC011","34","10","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0.550822514760364
"CC002xCC011","34","10","Influenza","HA","10_13x","2014_04_15",-1.44941311026878,1.48433108059768,0.531248325187756,-0.22514545840643,-0.461750241600068,NA
"CC002xCC011","49","10","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0.296113721684564
"CC002xCC011","49","10","Influenza","HA","10_13x","2014_04_15",-0.479166541883127,0.435097783528571,0.603959422556886,-0.50508300647649,-0.70641463064385,NA
"CC002xCC011","49","10","Influenza","HA.1","10_13x","2014_01_13",-0.274519064347452,0.457646904185775,0.575980991473215,-0.528072606748662,-1.02269598406679,NA
