"RIX","alias","ID","day","virus","antigen","IgG1","IgG2b","IgG3","IgM"
"CC002xCC011","X15156x3252","111","D15","SARS","N",1.18362212192771,1.54631624304619,0.700808690018745,-0.297810134043778
"CC002xCC011","X15156x3252","111","D15","SARS","S",1.67011099532524,2.34573707268107,1.90412753050907,0.240998467800088
"CC002xCC011","X15156x3252","118","D15","SARS","N",2.18484058815623,1.4417036093919,0.282582254113409,-1.28665391577959
"CC002xCC011","X15156x3252","118","D15","SARS","S",1.56177780180201,2.25235795428388,1.70826783547289,0.19502293947174
"CC002xCC011","X15156x3252","133","D15","SARS","N",1.39399963285656,0.975464203228585,0.382590361968451,-0.847303573743111
"CC002xCC011","X15156x3252","133","D15","SARS","S",1.75854939303648,2.3633880867634,1.64470617048164,0.220532968394824
"CC002xCC021","X15156x1566","103","D15","SARS","N",1.0916258598225,0.669888290772729,3.16227766016838e-06,-1.32594644735591
"CC002xCC021","X15156x1566","103","D15","SARS","S",1.16373825521261,1.82484365981921,1.03276432761712,-0.179228584026325
"CC002xCC021","X15156x1566","106","D15","SARS","N",0.672463882306009,0.62223675357242,3.16227766016838e-06,-11
"CC002xCC021","X15156x1566","106","D15","SARS","S",1.23148364757921,1.89304596326085,0.834922983072025,-0.346690824878036
"CC002xCC021","X15156x1566","270","D15","SARS","N",0.38454972819308,1.06429282177377,3.16227766016838e-06,-1.3539134722312
"CC002xCC021","X15156x1566","270","D15","SARS","S",1.14114119220199,2.23670914434801,0.916578383997246,-0.190528989980493
"CC002xCC021","X15156x1566","279","D15","SARS","N",1.26388730413759,0.176447488113513,3.16227766016838e-06,-11
"CC002xCC021","X15156x1566","279","D15","SARS","S",0.695782329211317,1.7397680717296,0.498474120905872,-0.554758314414824
"CC002xCC021","X15156x1566","280","D15","SARS","N",2.13398630828822,0.117127239634089,0.266132942741619,-0.978569155478881
"CC002xCC021","X15156x1566","280","D15","SARS","S",1.42378459035921,1.84382172394278,1.00674589673197,-0.109241918157595
"CC002xCC021","X15156x1566","97","D15","SARS","N",1.2660109961122,0.876444281561205,0.455391701544498,-1.26100932553595
"CC002xCC021","X15156x1566","97","D15","SARS","S",0.804252350147966,1.94511507139701,0.936017529519496,-0.272831953278131
"CC003xCC051","X13067x16912","61","D15","SARS","N",1.48607342548826,1.86700505334265,0.142319269883967,-0.838076186134549
"CC003xCC051","X13067x16912","61","D15","SARS","S",0.961278989140855,2.19677466539862,0.902757622346743,0.100540852856352
"CC003xCC051","X13067x16912","62","D15","SARS","N",2.14576462478216,1.96931659953574,0.304148346640982,-0.905905137140134
"CC003xCC051","X13067x16912","62","D15","SARS","S",1.48046188884082,1.99974231054395,0.919731493896711,0.283546388924807
"CC003xCC051","X13067x16912","76","D15","SARS","N",0.786834969494028,0.653228652927952,3.16227766016838e-06,-1.38421724067837
