RIX,alias,ID,day,virus,antigen,IgG1,IgG2ac,IgG2b,IgG3,IgM,TotalG
CC002xCC021,X15156x1566,270,D15,SARS,N,NA,NA,100,NA,NA,NA
CC002xCC021,X15156x1566,270,D15,SARS,S,100,10000,3000,NA,NA,10000
CC002xCC021,X15156x1566,273,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,273,D7,SARS,S,NA,300,100,NA,300,1000
CC002xCC021,X15156x1566,279,D15,SARS,N,100,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,279,D15,SARS,S,NA,10000,300,NA,NA,10000
CC002xCC021,X15156x1566,280,D15,SARS,N,300,NA,NA,NA,NA,1000
CC002xCC021,X15156x1566,280,D15,SARS,S,100,10000,300,NA,NA,10000
CC002xCC021,X15156x1566,287,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,287,D7,SARS,S,NA,300,NA,NA,300,300
CC002xCC021,X15156x1566,288,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,288,D7,SARS,S,NA,300,NA,NA,300,300
CC002xCC021,X15156x1566,97,D15,SARS,N,100,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,97,D15,SARS,S,NA,3000,1000,NA,NA,10000
CC002xCC021,X15156x1566,98,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,98,D7,SARS,S,NA,100,NA,NA,100,300
CC003xCC051,X13067x16912,118,D29,SARS,N,300,1000,300,NA,NA,3000
CC003xCC051,X13067x16912,118,D29,SARS,S,10000,10000,3000,NA,NA,30000
CC003xCC051,X13067x16912,119,D29,SARS,N,300,1000,1000,NA,NA,1000
CC003xCC051,X13067x16912,119,D29,SARS,S,3000,30000,3000,NA,NA,30000
CC003xCC051,X13067x16912,120,D29,SARS,N,100,1000,300,NA,NA,1000
CC003xCC051,X13067x16912,120,D29,SARS,S,3000,1.00E+05,3000,100,NA,30000
CC003xCC051,X13067x16912,28,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC003xCC051,X13067x16912,28,D7,SARS,S,NA,100,100,NA,300,300
CC003xCC051,X13067x16912,40,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC003xCC051,X13067x16912,40,D7,SARS,S,NA,100,NA,NA,300,100
CC003xCC051,X13067x16912,41,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC003xCC051,X13067x16912,41,D7,SARS,S,NA,100,NA,NA,300,100
CC003xCC051,X13067x16912,61,D15,SARS,N,300,NA,300,NA,NA,1000
CC003xCC051,X13067x16912,61,D15,SARS,S,NA,10000,1000,NA,NA,10000
CC003xCC051,X13067x16912,62,D15,SARS,N,1000,1000,1000,NA,NA,3000
CC003xCC051,X13067x16912,62,D15,SARS,S,100,3000,1000,NA,100,3000
CC003xCC051,X13067x16912,70,DRECHAL,SARS,N,300,1000,300,NA,NA,3000
CC003xCC051,X13067x16912,70,DRECHAL,SARS,S,3000,30000,3000,NA,NA,30000
CC003xCC051,X13067x16912,71,DRECHAL,SARS,N,100,1000,1000,NA,NA,1000
CC003xCC051,X13067x16912,71,DRECHAL,SARS,S,3000,1.00E+05,10000,NA,NA,30000
CC003xCC051,X13067x16912,72,DRECHAL,SARS,N,300,1000,300,NA,NA,1000
CC003xCC051,X13067x16912,72,DRECHAL,SARS,S,10000,30000,3000,NA,NA,30000
CC003xCC051,X13067x16912,76,D15,SARS,N,NA,NA,NA,NA,NA,NA
CC003xCC051,X13067x16912,76,D15,SARS,S,NA,3000,300,NA,NA,3000
CC005xCC001,X16211x13140,105,D29,SARS,N,300,1000,100,NA,NA,3000
CC005xCC001,X16211x13140,105,D29,SARS,S,100,10000,300,NA,NA,30000
CC005xCC001,X16211x13140,132,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC005xCC001,X16211x13140,132,D7,SARS,S,NA,NA,NA,NA,300,100
CC005xCC001,X16211x13140,133,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC005xCC001,X16211x13140,133,D7,SARS,S,NA,100,NA,NA,300,300
CC005xCC001,X16211x13140,134,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC005xCC001,X16211x13140,134,D7,SARS,S,NA,100,NA,NA,1000,300
CC005xCC001,X16211x13140,135,D10,SARS,N,300,NA,100,NA,NA,3000
CC005xCC001,X16211x13140,135,D10,SARS,S,NA,1000,NA,NA,1000,10000
CC005xCC001,X16211x13140,136,D10,SARS,N,1000,NA,100,NA,NA,3000
CC005xCC001,X16211x13140,136,D10,SARS,S,NA,3000,NA,NA,300,1000
CC005xCC001,X16211x13140,137,D10,SARS,N,100,NA,100,NA,NA,1000
CC005xCC001,X16211x13140,137,D10,SARS,S,NA,3000,NA,NA,100,1000
CC005xCC001,X16211x13140,34,D15,SARS,N,1000,3000,100,NA,NA,10000
CC005xCC001,X16211x13140,34,D15,SARS,S,100,3000,NA,NA,300,10000
CC005xCC001,X16211x13140,37,D15,SARS,N,1000,1000,100,NA,NA,10000
CC005xCC001,X16211x13140,37,D15,SARS,S,NA,3000,100,NA,300,10000
CC005xCC001,X16211x13140,38,D15,SARS,N,100,1000,NA,NA,NA,3000
CC005xCC001,X16211x13140,38,D15,SARS,S,NA,3000,NA,NA,100,3000
CC005xCC001,X16211x13140,90,D29,SARS,N,300,1000,100,NA,NA,3000
CC005xCC001,X16211x13140,90,D29,SARS,S,100,10000,300,NA,NA,30000
CC005xCC001,X16211x13140,91,D29,SARS,N,300,1000,100,NA,NA,3000
CC005xCC001,X16211x13140,91,D29,SARS,S,100,3000,300,NA,NA,10000
CC005xCC038,X16211x8049,102,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC005xCC038,X16211x8049,102,D7,SARS,S,NA,1000,300,NA,3000,3000
CC005xCC038,X16211x8049,103,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC005xCC038,X16211x8049,103,D7,SARS,S,NA,100,NA,NA,300,300
CC005xCC038,X16211x8049,104,D15,SARS,N,NA,3000,3000,NA,100,10000
CC005xCC038,X16211x8049,104,D15,SARS,S,1000,30000,10000,300,1000,30000
CC005xCC038,X16211x8049,105,D15,SARS,N,NA,10000,10000,100,100,3000
CC005xCC038,X16211x8049,105,D15,SARS,S,300,30000,10000,NA,3000,30000
CC005xCC038,X16211x8049,106,D15,SARS,N,NA,10000,10000,1000,300,30000
CC005xCC038,X16211x8049,106,D15,SARS,S,3000,30000,3000,1000,1000,30000
CC005xCC038,X16211x8049,111,DRECHAL,SARS,N,NA,10000,10000,300,NA,30000
CC005xCC038,X16211x8049,111,DRECHAL,SARS,S,300,30000,10000,300,100,1.00E+05
CC005xCC038,X16211x8049,112,DRECHAL,SARS,N,NA,30000,30000,300,NA,1000
CC005xCC038,X16211x8049,112,DRECHAL,SARS,S,3000,1.00E+05,10000,1000,100,1.00E+05
CC005xCC038,X16211x8049,117,DRECHAL,SARS,N,NA,10000,10000,300,100,30000
CC005xCC038,X16211x8049,117,DRECHAL,SARS,S,10000,1.00E+05,30000,1000,300,1.00E+05
CC005xCC038,X16211x8049,78,D29,SARS,N,NA,30000,10000,3000,100,30000
CC005xCC038,X16211x8049,78,D29,SARS,S,3000,1.00E+05,30000,3000,300,1.00E+05
CC005xCC038,X16211x8049,79,D29,SARS,N,NA,10000,10000,300,100,30000
CC005xCC038,X16211x8049,79,D29,SARS,S,3000,1.00E+05,30000,1000,300,3.00E+05
CC005xCC038,X16211x8049,80,D29,SARS,N,NA,10000,10000,100,100,30000
CC005xCC038,X16211x8049,80,D29,SARS,S,1000,1.00E+05,30000,300,300,1.00E+05
CC005xCC038,X16211x8049,95,D7,SARS,N,NA,NA,NA,NA,100,NA
CC005xCC038,X16211x8049,95,D7,SARS,S,NA,300,100,NA,3000,1000
CC005xCC040,X16211x16557,10,DRECHAL,SARS,N,100,1000,300,NA,NA,3000
CC005xCC040,X16211x16557,10,DRECHAL,SARS,S,NA,30000,3000,NA,NA,30000
CC005xCC040,X16211x16557,12,DRECHAL,SARS,N,1000,1000,300,NA,NA,3000
CC005xCC040,X16211x16557,12,DRECHAL,SARS,S,1000,10000,3000,NA,NA,30000
CC005xCC040,X16211x16557,20,D29,SARS,N,300,1000,NA,NA,NA,1000
CC005xCC040,X16211x16557,20,D29,SARS,S,NA,10000,1000,NA,NA,10000
CC005xCC040,X16211x16557,21,D15,SARS,N,NA,1000,300,NA,NA,1000
