"RIX","alias","ID","day","virus","antigen","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC002xCC011","X15156x3252","104","D10","SARS","S",2.47712125471966,173.205080756888,100,3.47712125471966,4,316.227766016838
"CC002xCC011","X15156x3252","108","D10","SARS","S",2.47712125471966,173.205080756888,100,3.47712125471966,4.47712125471966,547.722557505166
"CC002xCC011","X15156x3252","109","D10","SARS","S",2,173.205080756888,100,3.47712125471966,4,547.722557505166
"CC002xCC011","X15156x3252","110","D10","SARS","S",2.47712125471966,316.227766016838,100,3.47712125471966,4,316.227766016838
"CC005xCC001","X16211x13140","135","D10","SARS","S",0,100,31.6227766016838,0,4.47712125471966,316.227766016838
"CC005xCC001","X16211x13140","136","D10","SARS","S",0,173.205080756888,54.7722557505166,0,4.47712125471966,316.227766016838
"CC005xCC001","X16211x13140","137","D10","SARS","S",2,173.205080756888,100,0,4.47712125471966,547.722557505166
"CC006xCC007","X16750x13421","151","D10","SARS","S",3.47712125471966,316.227766016838,100,3.47712125471966,4,316.227766016838
"CC006xCC007","X16750x13421","152","D10","SARS","S",2,316.227766016838,100,3,4,316.227766016838
"CC006xCC007","X16750x13421","156","D10","SARS","S",3,316.227766016838,100,3,3.47712125471966,316.227766016838
"CC006xCC007","X16750x13421","163","D10","SARS","S",3,173.205080756888,100,2.47712125471966,4,316.227766016838
"CC006xCC007","X16750x13421","167","D10","SARS","S",3,173.205080756888,100,3,4,316.227766016838
"CC006xCC039","X16750x15155","129","D10","SARS","S",2.47712125471966,316.227766016838,173.205080756888,3.47712125471966,3.47712125471966,547.722557505166
"CC006xCC039","X16750x15155","130","D10","SARS","S",2,173.205080756888,173.205080756888,3.47712125471966,3.47712125471966,316.227766016838
"CC006xCC039","X16750x15155","147","D10","SARS","S",2,316.227766016838,100,3.47712125471966,3.47712125471966,547.722557505166
"CC009xCC040","X5489x16557","167","D10","SARS","S",0,316.227766016838,100,2.47712125471966,3.47712125471966,316.227766016838
"CC009xCC040","X5489x16557","168","D10","SARS","S",2.47712125471966,316.227766016838,100,3,4,316.227766016838
"CC009xCC040","X5489x16557","170","D10","SARS","S",0,316.227766016838,100,2.47712125471966,4,316.227766016838
"CC011xCC032","X3252x8002","28","D10","SARS","S",0,316.227766016838,1,0,2,1
"CC011xCC032","X3252x8002","29","D10","SARS","S",0,316.227766016838,1,0,0,1
"CC011xCC032","X3252x8002","70","D10","SARS","S",0,316.227766016838,1,0,0,1
"CC015xCC018","X3154x3609","54","D10","SARS","S",2.47712125471966,173.205080756888,100,2,3.47712125471966,316.227766016838
"CC015xCC018","X3154x3609","62","D10","SARS","S",0,173.205080756888,100,3,3.47712125471966,173.205080756888
"CC016xCC038","X8024x8049","61","D10","SARS","S",2,100,100,3,4,173.205080756888
"CC016xCC038","X8024x8049","62","D10","SARS","S",2,100,100,3,4.47712125471966,173.205080756888
"CC016xCC038","X8024x8049","72","D10","SARS","S",0,173.205080756888,100,2,4,173.205080756888
"CC016xCC038","X8024x8049","73","D10","SARS","S",0,100,31.6227766016838,2,4,100
"CC018xCC009","X3609x5489","89","D10","SARS","S",0,100,54.7722557505166,2.47712125471966,2.47712125471966,316.227766016838
"CC018xCC009","X3609x5489","90","D10","SARS","S",0,100,54.7722557505166,0,3.47712125471966,316.227766016838
"CC019xCC027","X16513x8027","101","D10","SARS","S",3,316.227766016838,100,3.47712125471966,4.47712125471966,547.722557505166
"CC019xCC027","X16513x8027","112","D10","SARS","S",2.47712125471966,316.227766016838,100,3.47712125471966,4,547.722557505166
"CC019xCC027","X16513x8027","116","D10","SARS","S",2,547.722557505166,173.205080756888,3.47712125471966,4.47712125471966,547.722557505166
"CC020xCC008","X8054x8036","105","D10","SARS","S",2,100,54.7722557505166,2.47712125471966,3.47712125471966,173.205080756888
"CC020xCC008","X8054x8036","107","D10","SARS","S",0,173.205080756888,54.7722557505166,3,4,173.205080756888
"CC021xCC023","X1566x8043","155","D10","SARS","S",0,173.205080756888,100,3,4,173.205080756888
"CC021xCC023","X1566x8043","156","D10","SARS","S",2,173.205080756888,54.7722557505166,2.47712125471966,3.47712125471966,173.205080756888
"CC021xCC023","X1566x8043","157","D10","SARS","S",0,173.205080756888,54.7722557505166,2.47712125471966,4,173.205080756888
"CC027xCC045","X8027x8045","125","D10","SARS","S",2,173.205080756888,54.7722557505166,2,3,316.227766016838
"CC027xCC045","X8027x8045","127","D10","SARS","S",2.47712125471966,316.227766016838,54.7722557505166,3.47712125471966,3.47712125471966,547.722557505166
"CC027xCC045","X8027x8045","135","D10","SARS","S",0,173.205080756888,54.7722557505166,3.47712125471966,3,547.722557505166
"CC033xCC046","X8033x5346","109","D10","SARS","S",2.47712125471966,316.227766016838,100,2.47712125471966,4,1000
"CC033xCC046","X8033x5346","110","D10","SARS","S",2,173.205080756888,54.7722557505166,3,4,547.722557505166
"CC033xCC046","X8033x5346","111","D10","SARS","S",2,316.227766016838,100,3,3.47712125471966,1000
"CC033xCC046","X8033x5346","116","D10","SARS","S",2,316.227766016838,100,2.47712125471966,4,316.227766016838
"CC036xCC051","X477x16912","100","D10","SARS","S",0,100,31.6227766016838,0,2.47712125471966,100
"CC036xCC051","X477x16912","104","D10","SARS","S",0,173.205080756888,54.7722557505166,2.47712125471966,3.47712125471966,316.227766016838
"CC036xCC051","X477x16912","105","D10","SARS","S",0,54.7722557505166,17.3205080756888,2,3,100
"CC036xCC051","X477x16912","106","D10","SARS","S",0,54.7722557505166,17.3205080756888,2,2.47712125471966,54.7722557505166
"CC037xCC057","X16072x3393","80","D10","SARS","S",2,316.227766016838,173.205080756888,3.47712125471966,4.47712125471966,316.227766016838
"CC037xCC057","X16072x3393","81","D10","SARS","S",2,316.227766016838,100,3.47712125471966,4,173.205080756888
"CC037xCC057","X16072x3393","82","D10","SARS","S",2.47712125471966,316.227766016838,173.205080756888,3.47712125471966,4,173.205080756888
"CC039xCC020","X15155x8054","125","D10","SARS","S",0,54.7722557505166,31.6227766016838,2,0,100
"CC039xCC020","X15155x8054","127","D10","SARS","S",2,173.205080756888,173.205080756888,3,3,316.227766016838
"CC040xCC003","X16557x13067","38","D10","SARS","S",0,173.205080756888,173.205080756888,2.47712125471966,4,173.205080756888
"CC040xCC003","X16557x13067","39","D10","SARS","S",0,316.227766016838,173.205080756888,3.47712125471966,4,316.227766016838
"CC040xCC003","X16557x13067","47","D10","SARS","S",0,173.205080756888,100,3,3.47712125471966,173.205080756888
"CC041xCC016","X16441x8024","117","D10","SARS","S",3.47712125471966,173.205080756888,100,3,3,316.227766016838
"CC041xCC016","X16441x8024","118","D10","SARS","S",3.47712125471966,316.227766016838,173.205080756888,3.47712125471966,4.47712125471966,547.722557505166
"CC041xCC016","X16441x8024","119","D10","SARS","S",3.47712125471966,316.227766016838,173.205080756888,4,4.47712125471966,547.722557505166
"CC041xCC016","X16441x8024","120","D10","SARS","S",3,316.227766016838,173.205080756888,3.47712125471966,4,547.722557505166
"CC041xCC016","X16441x8024","121","D10","SARS","S",4,316.227766016838,316.227766016838,4,5,1000
