"RIX","alias","ID","day","virus","antigen","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC002xCC011","X15156x3252","111","D15","SARS","S",100,547.722557505166,173.205080756888,4,3.47712125471966,3e+06
"CC002xCC011","X15156x3252","118","D15","SARS","S",54.7722557505166,316.227766016838,173.205080756888,4,3.47712125471966,3e+06
"CC002xCC011","X15156x3252","133","D15","SARS","S",100,316.227766016838,173.205080756888,3.47712125471966,3.47712125471966,3e+06
"CC002xCC021","X15156x1566","103","D15","SARS","S",31.6227766016838,173.205080756888,100,4.47712125471966,3,1e+05
"CC002xCC021","X15156x1566","106","D15","SARS","S",10,316.227766016838,100,3,2.47712125471966,3e+05
"CC002xCC021","X15156x1566","270","D15","SARS","S",31.6227766016838,316.227766016838,100,3,3,3e+05
"CC002xCC021","X15156x1566","279","D15","SARS","S",17.3205080756888,316.227766016838,54.7722557505166,2,2.47712125471966,1e+05
"CC002xCC021","X15156x1566","280","D15","SARS","S",54.7722557505166,316.227766016838,100,3,3,3e+05
"CC002xCC021","X15156x1566","97","D15","SARS","S",31.6227766016838,316.227766016838,100,3,2.47712125471966,3e+05
"CC003xCC051","X13067x16912","61","D15","SARS","S",31.6227766016838,316.227766016838,173.205080756888,3,3,1e+05
"CC003xCC051","X13067x16912","62","D15","SARS","S",100,173.205080756888,100,3,3,30000
"CC003xCC051","X13067x16912","76","D15","SARS","S",17.3205080756888,173.205080756888,54.7722557505166,2,2,30000
"CC005xCC001","X16211x13140","34","D15","SARS","S",31.6227766016838,316.227766016838,31.6227766016838,0,3.47712125471966,1e+05
"CC005xCC001","X16211x13140","37","D15","SARS","S",17.3205080756888,173.205080756888,31.6227766016838,0,3.47712125471966,1e+05
"CC005xCC001","X16211x13140","38","D15","SARS","S",10,173.205080756888,17.3205080756888,0,3,30000
"CC005xCC038","X16211x8049","104","D15","SARS","S",100,547.722557505166,316.227766016838,4,4,1e+06
"CC005xCC038","X16211x8049","105","D15","SARS","S",54.7722557505166,547.722557505166,316.227766016838,3.47712125471966,4.47712125471966,1e+06
"CC005xCC038","X16211x8049","106","D15","SARS","S",173.205080756888,547.722557505166,173.205080756888,4,4,3e+06
"CC005xCC040","X16211x16557","21","D15","SARS","S",17.3205080756888,547.722557505166,100,3,3,3e+05
"CC005xCC040","X16211x16557","29","D15","SARS","S",17.3205080756888,547.722557505166,173.205080756888,3,3.47712125471966,1e+06
"CC005xCC040","X16211x16557","30","D15","SARS","S",17.3205080756888,1000,173.205080756888,3.47712125471966,3.47712125471966,1e+06
"CC006xCC007","X16750x13421","84","D15","SARS","S",173.205080756888,547.722557505166,316.227766016838,4,3.47712125471966,3e+05
"CC006xCC007","X16750x13421","85","D15","SARS","S",173.205080756888,547.722557505166,316.227766016838,3.47712125471966,3,1e+06
"CC006xCC007","X16750x13421","86","D15","SARS","S",100,547.722557505166,316.227766016838,3.47712125471966,3.47712125471966,3e+05
"CC006xCC007","X16750x13421","87","D15","SARS","S",100,316.227766016838,316.227766016838,3.47712125471966,3.47712125471966,3e+05
"CC006xCC039","X16750x15155","5","D15","SARS","S",54.7722557505166,316.227766016838,173.205080756888,3.47712125471966,0,3e+05
"CC006xCC039","X16750x15155","6","D15","SARS","S",54.7722557505166,316.227766016838,173.205080756888,4,0,3e+05
"CC006xCC039","X16750x15155","8","D15","SARS","S",100,316.227766016838,316.227766016838,3.47712125471966,2.47712125471966,3e+05
"CC006xCC039","X16750x15155","9","D15","SARS","S",100,316.227766016838,173.205080756888,3.47712125471966,0,3e+05
"CC008xCC009","X8036x5489","101","D15","SARS","S",1,54.7722557505166,100,0,0,30000
"CC008xCC009","X8036x5489","99","D15","SARS","S",54.7722557505166,173.205080756888,173.205080756888,2,0,30000
"CC008xCC010","X8036x8018","65","D15","SARS","S",31.6227766016838,173.205080756888,31.6227766016838,2.47712125471966,2,30000
"CC008xCC010","X8036x8018","66","D15","SARS","S",17.3205080756888,173.205080756888,10,0,0,30000
"CC008xCC010","X8036x8018","70","D15","SARS","S",10,316.227766016838,54.7722557505166,3,2.47712125471966,30000
"CC008xCC018","X8036x3609","114","D15","SARS","S",54.7722557505166,316.227766016838,173.205080756888,3.47712125471966,3.47712125471966,1e+05
"CC008xCC018","X8036x3609","115","D15","SARS","S",100,316.227766016838,100,3.47712125471966,3.47712125471966,1e+05
"CC008xCC018","X8036x3609","116","D15","SARS","S",100,316.227766016838,173.205080756888,3,3.47712125471966,1e+05
"CC009xCC040","X5489x16557","68","D15","SARS","S",31.6227766016838,547.722557505166,547.722557505166,3.47712125471966,3,3e+06
"CC009xCC040","X5489x16557","70","D15","SARS","S",31.6227766016838,547.722557505166,173.205080756888,3.47712125471966,3,3e+06
"CC009xCC040","X5489x16557","71","D15","SARS","S",54.7722557505166,173.205080756888,100,2.47712125471966,3,1e+05
"CC010xCC015","X8018x3154","4","D15","SARS","S",100,1000,316.227766016838,4,4.47712125471966,3e+06
"CC010xCC015","X8018x3154","5","D15","SARS","S",100,1000,173.205080756888,3.47712125471966,4.47712125471966,1e+06
"CC010xCC015","X8018x3154","50","D15","SARS","S",100,1000,173.205080756888,3.47712125471966,4,3e+06
"CC010xCC015","X8018x3154","51","D15","SARS","S",173.205080756888,1000,173.205080756888,3.47712125471966,4,1e+06
"CC010xCC015","X8018x3154","52","D15","SARS","S",100,1000,100,3,3.47712125471966,3e+06
"CC010xCC015","X8018x3154","6","D15","SARS","S",173.205080756888,547.722557505166,173.205080756888,4,4.47712125471966,1e+06
"CC010xCC060","X8018x3460","62","D15","SARS","S",1,547.722557505166,316.227766016838,3.47712125471966,3,3e+05
"CC010xCC060","X8018x3460","63","D15","SARS","S",1,547.722557505166,316.227766016838,4,2.47712125471966,3e+05
"CC010xCC060","X8018x3460","64","D15","SARS","S",31.6227766016838,547.722557505166,316.227766016838,4,2,3e+05
"CC010xCC060","X8018x3460","65","D15","SARS","S",1,547.722557505166,547.722557505166,3.47712125471966,2.47712125471966,3e+05
"CC010xCC060","X8018x3460","66","D15","SARS","S",31.6227766016838,547.722557505166,316.227766016838,4,3,3e+05
"CC011xCC032","X3252x8002","26","D15","SARS","S",54.7722557505166,1000,173.205080756888,3,3,1e+06
"CC011xCC032","X3252x8002","30","D15","SARS","S",100,1732.05080756888,173.205080756888,3.47712125471966,3,3e+06
"CC011xCC042","X3252x18042","10","D15","SARS","S",17.3205080756888,316.227766016838,173.205080756888,3.47712125471966,3.47712125471966,1e+05
"CC011xCC042","X3252x18042","11","D15","SARS","S",54.7722557505166,316.227766016838,173.205080756888,3.47712125471966,3,3e+05
"CC011xCC042","X3252x18042","2","D15","SARS","S",100,316.227766016838,173.205080756888,3.47712125471966,3.47712125471966,3e+05
"CC012xCC038","X8005x8049","87","D15","SARS","S",10,173.205080756888,54.7722557505166,2,2.47712125471966,1e+05
"CC012xCC038","X8005x8049","88","D15","SARS","S",54.7722557505166,316.227766016838,100,2.47712125471966,3,3e+05
"CC012xCC038","X8005x8049","97","D15","SARS","S",1,173.205080756888,54.7722557505166,0,2,1e+05
"CC013xCC026","X8010x8026","16","D15","SARS","S",173.205080756888,547.722557505166,173.205080756888,4,4,3e+06
"CC013xCC026","X8010x8026","19","D15","SARS","S",100,547.722557505166,173.205080756888,4,4,3e+06
"CC013xCC026","X8010x8026","20","D15","SARS","S",100,547.722557505166,316.227766016838,4,4,1e+06
"CC014xCC059","X3415x16012","55","D15","SARS","S",17.3205080756888,173.205080756888,100,2.47712125471966,0,30000
"CC014xCC059","X3415x16012","61","D15","SARS","S",54.7722557505166,173.205080756888,100,2.47712125471966,0,30000
"CC014xCC059","X3415x16012","62","D15","SARS","S",31.6227766016838,173.205080756888,173.205080756888,2.47712125471966,0,30000
"CC015xCC018","X3154x3609","21","D15","SARS","S",17.3205080756888,316.227766016838,54.7722557505166,0,3,3e+05
"CC015xCC018","X3154x3609","3","D15","SARS","S",17.3205080756888,316.227766016838,54.7722557505166,3,3.47712125471966,1e+05
"CC015xCC018","X3154x3609","35","D15","SARS","S",10,173.205080756888,31.6227766016838,0,3,1e+05
"CC015xCC059","X3154x16012","36","D15","SARS","S",54.7722557505166,547.722557505166,173.205080756888,3.47712125471966,2.47712125471966,1e+06
"CC015xCC059","X3154x16012","42","D15","SARS","S",100,547.722557505166,173.205080756888,3.47712125471966,3,1e+06
"CC015xCC059","X3154x16012","43","D15","SARS","S",31.6227766016838,547.722557505166,100,3.47712125471966,2,1e+06
"CC016xCC038","X8024x8049","4","D15","SARS","S",54.7722557505166,316.227766016838,173.205080756888,3,3.47712125471966,3e+05
"CC016xCC038","X8024x8049","5","D15","SARS","S",100,316.227766016838,173.205080756888,3,3.47712125471966,3e+05
"CC016xCC038","X8024x8049","6","D15","SARS","S",54.7722557505166,316.227766016838,173.205080756888,3.47712125471966,3.47712125471966,3e+05
"CC016xCC061","X8024x8048","94","D15","SARS","S",54.7722557505166,173.205080756888,173.205080756888,3,2.47712125471966,1e+05
"CC016xCC061","X8024x8048","95","D15","SARS","S",100,316.227766016838,316.227766016838,3.47712125471966,3,3e+05
"CC016xCC061","X8024x8048","97","D15","SARS","S",54.7722557505166,316.227766016838,316.227766016838,4,2.47712125471966,3e+05
"CC017xCC004","X3032x16188","142","D15","SARS","S",31.6227766016838,547.722557505166,100,3.47712125471966,2.47712125471966,3e+05
"CC017xCC004","X3032x16188","143","D15","SARS","S",54.7722557505166,547.722557505166,173.205080756888,4,3,1e+06
"CC017xCC004","X3032x16188","144","D15","SARS","S",54.7722557505166,547.722557505166,100,3.47712125471966,3.47712125471966,3e+05
"CC018xCC009","X3609x5489","80","D15","SARS","S",10,316.227766016838,100,2.47712125471966,3,1e+05
"CC018xCC009","X3609x5489","81","D15","SARS","S",1,316.227766016838,100,3,3.47712125471966,1e+05
"CC018xCC009","X3609x5489","92","D15","SARS","S",1,1,10,0,2,1
"CC018xCC065","X3609x5119","100","D15","SARS","S",100,547.722557505166,100,3,2,3e+05
"CC018xCC065","X3609x5119","99","D15","SARS","S",17.3205080756888,1000,173.205080756888,3,2,1e+06
"CC019xCC002","X16513x15156","8","D15","SARS","S",54.7722557505166,316.227766016838,100,3,3,1e+05
"CC019xCC004","X16513x16188","64","D15","SARS","S",NA,1732.05080756888,173.205080756888,4,2.47712125471966,3e+06
"CC019xCC004","X16513x16188","65","D15","SARS","S",NA,1000,173.205080756888,3,2.47712125471966,1e+06
"CC019xCC004","X16513x16188","69","D15","SARS","S",NA,1732.05080756888,173.205080756888,3.47712125471966,3,3e+06
"CC019xCC027","X16513x8027","68","D15","SARS","S",54.7722557505166,1000,316.227766016838,4.47712125471966,3.47712125471966,3e+06
