"RIX","alias","ID","day","isotype","virus","antigen","AUC"
"CC017xCC004","X3032x16188","81","DRECHAL","IgM","SARS","N",0.153326295184422
"CC017xCC004","X3032x16188","74","DRECHAL","IgM","SARS","N",0.14866614396746
"CC017xCC004","X3032x16188","82","D29","IgM","SARS","N",0.224316297995919
"CC017xCC004","X3032x16188","143","D15","IgM","SARS","N",0.385325623142585
"CC017xCC004","X3032x16188","114","D7","IgM","SARS","N",0.154303416439142
"CC017xCC004","X3032x16188","108","D7","IgM","SARS","N",0.18466614396746
"CC017xCC004","X3032x16188","107","D7","IgM","SARS","N",0.165319854406034
"CC017xCC004","X3032x16188","74","DRECHAL","IgG3","SARS","N",1.31743556440309
"CC017xCC004","X3032x16188","142","D15","IgG3","SARS","N",0.104202352297409
"CC017xCC004","X3032x16188","108","D7","IgG3","SARS","N",0.00436272752831798
"CC017xCC004","X3032x16188","82","D29","IgG2b","SARS","N",6.80110968943354
"CC017xCC004","X3032x16188","144","D15","IgG2b","SARS","N",2.32005527883815
"CC017xCC004","X3032x16188","143","D15","IgG2b","SARS","N",2.05643800074347
"CC017xCC004","X3032x16188","114","D7","IgG2b","SARS","N",0.0305979557595104
"CC017xCC004","X3032x16188","107","D7","IgG2b","SARS","N",0.0370488658727823
"CC017xCC004","X3032x16188","114","D7","IgG2ac","SARS","N",0.0942612153586944
"CC017xCC004","X3032x16188","108","D7","IgG2ac","SARS","N",0.104257882962527
"CC017xCC004","X3032x16188","107","D7","IgG2ac","SARS","N",0.165199019901243
"CC017xCC004","X3032x16188","81","DRECHAL","IgG1","SARS","N",0.957064183769945
"CC017xCC004","X3032x16188","74","DRECHAL","IgG1","SARS","N",2.59464967818755
"CC017xCC004","X3032x16188","83","D29","IgG1","SARS","N",1.80022875963978
"CC017xCC004","X3032x16188","143","D15","IgG1","SARS","N",0.748351834284032
"CC017xCC004","X3032x16188","142","D15","IgG1","SARS","N",3.46812968381055
"CC017xCC004","X3032x16188","108","D7","TotalG","SARS","N",0.124842957165259
"CC017xCC004","X3032x16188","81","DRECHAL","IgM","SARS","S",0.207231671821079
"CC017xCC004","X3032x16188","74","DRECHAL","IgM","SARS","S",0.172502884368276
"CC017xCC004","X3032x16188","83","D29","IgM","SARS","S",0.109669700377573
"CC017xCC004","X3032x16188","82","D29","IgM","SARS","S",0.172499551972107
"CC017xCC004","X3032x16188","73","D29","IgM","SARS","S",0.223725007028744
"CC017xCC004","X3032x16188","144","D15","IgM","SARS","S",0.901478885553267
"CC017xCC004","X3032x16188","108","D7","IgM","SARS","S",2.96442688348524
"CC017xCC004","X3032x16188","83","D29","IgG3","SARS","S",0.664145925576509
"CC017xCC004","X3032x16188","82","D29","IgG3","SARS","S",1.99892290686026
"CC017xCC004","X3032x16188","73","D29","IgG3","SARS","S",1.55416457586984
"CC017xCC004","X3032x16188","144","D15","IgG3","SARS","S",1.26561859436532
"CC017xCC004","X3032x16188","108","D7","IgG3","SARS","S",0.174058191019447
"CC017xCC004","X3032x16188","74","DRECHAL","IgG2b","SARS","S",4.57622097477772
"CC017xCC004","X3032x16188","73","D29","IgG2b","SARS","S",7.94770408878294
"CC017xCC004","X3032x16188","144","D15","IgG2b","SARS","S",3.87301218170192
"CC017xCC004","X3032x16188","114","D7","IgG2b","SARS","S",0.751848053859971
"CC017xCC004","X3032x16188","107","D7","IgG2ac","SARS","S",2.28350641296537
"CC017xCC004","X3032x16188","74","DRECHAL","IgG1","SARS","S",2.29247420907342
"CC017xCC004","X3032x16188","73","D29","IgG1","SARS","S",7.6894950716932
"CC017xCC004","X3032x16188","144","D15","IgG1","SARS","S",1.11249509950621
"CC017xCC004","X3032x16188","143","D15","IgG1","SARS","S",0.903433352076651
"CC017xCC004","X3032x16188","107","D7","IgG1","SARS","S",0.0784311397502132
"CC017xCC004","X3032x16188","108","D7","TotalG","SARS","S",1.87436580809752
"CC017xCC004","X3032x16188","107","D7","TotalG","SARS","S",1.70450708500721
"CC015xCC018","X3154x3609","64","DRECHAL","IgM","SARS","N",0.144888490641874
"CC015xCC018","X3154x3609","63","DRECHAL","IgM","SARS","N",0.195721674632576
"CC015xCC018","X3154x3609","56","DRECHAL","IgM","SARS","N",0.037231895835025
"CC015xCC018","X3154x3609","13","D29","IgM","SARS","N",0.0979768972407736
"CC015xCC018","X3154x3609","12","D29","IgM","SARS","N",0.0937350042172463
"CC015xCC018","X3154x3609","21","D15","IgM","SARS","N",0.248679249538182
"CC015xCC018","X3154x3609","3","D15","IgM","SARS","N",0.208610389288398
"CC015xCC018","X3154x3609","62","D10","IgM","SARS","N",0.0382154578681337
"CC015xCC018","X3154x3609","54","D10","IgM","SARS","N",0.11794402130699
"CC015xCC018","X3154x3609","19","D7","IgM","SARS","N",0.11159106695323
"CC015xCC018","X3154x3609","9","D7","IgM","SARS","N",0.186156370792903
"CC015xCC018","X3154x3609","13","D29","IgG3","SARS","N",0.131865611896594
"CC015xCC018","X3154x3609","21","D15","IgG3","SARS","N",0.105009549160611
"CC015xCC018","X3154x3609","3","D15","IgG3","SARS","N",0.300888042613983
"CC015xCC018","X3154x3609","62","D10","IgG3","SARS","N",0.786678129468454
"CC015xCC018","X3154x3609","54","D10","IgG3","SARS","N",0.108447353703159
"CC015xCC018","X3154x3609","19","D7","IgG3","SARS","N",0.0843331839907028
"CC015xCC018","X3154x3609","16","D7","IgG3","SARS","N",0.0845031083822216
"CC015xCC018","X3154x3609","9","D7","IgG3","SARS","N",0.182744777391802
"CC015xCC018","X3154x3609","63","DRECHAL","IgG2b","SARS","N",2.92798574654653
"CC015xCC018","X3154x3609","11","D29","IgG2b","SARS","N",2.00417210890494
"CC015xCC018","X3154x3609","62","D10","IgG2b","SARS","N",1.64578829474291
"CC015xCC018","X3154x3609","54","D10","IgG2b","SARS","N",1.52619944011611
"CC015xCC018","X3154x3609","19","D7","IgG2b","SARS","N",0.0264115934011003
"CC015xCC018","X3154x3609","16","D7","IgG2b","SARS","N",0.269601064141732
"CC015xCC018","X3154x3609","9","D7","IgG2b","SARS","N",0.0660586390473387
"CC015xCC018","X3154x3609","16","D7","IgG2ac","SARS","N",0.370459787232045
"CC015xCC018","X3154x3609","9","D7","IgG2ac","SARS","N",0.286692355108908
"CC015xCC018","X3154x3609","64","DRECHAL","IgG1","SARS","N",0.629262755643292
"CC015xCC018","X3154x3609","63","DRECHAL","IgG1","SARS","N",2.48205438278237
"CC015xCC018","X3154x3609","12","D29","IgG1","SARS","N",0.713396471704864
"CC015xCC018","X3154x3609","11","D29","IgG1","SARS","N",2.74064589776349
"CC015xCC018","X3154x3609","3","D15","IgG1","SARS","N",0.325600168085947
"CC015xCC018","X3154x3609","62","D10","IgG1","SARS","N",3.07298263816431
"CC015xCC018","X3154x3609","19","D7","IgG1","SARS","N",0.0496337160615687
"CC015xCC018","X3154x3609","9","D7","IgG1","SARS","N",0.0889866704153303
"CC015xCC018","X3154x3609","19","D7","TotalG","SARS","N",0.260933800104544
"CC015xCC018","X3154x3609","64","DRECHAL","IgM","SARS","S",0.249381825849539
"CC015xCC018","X3154x3609","63","DRECHAL","IgM","SARS","S",0.396296303618915
"CC015xCC018","X3154x3609","56","DRECHAL","IgM","SARS","S",0.288417586151597
"CC015xCC018","X3154x3609","13","D29","IgM","SARS","S",0.386220778576793
"CC015xCC018","X3154x3609","12","D29","IgM","SARS","S",0.497082834063274
"CC015xCC018","X3154x3609","11","D29","IgM","SARS","S",0.586524867057775
"CC015xCC018","X3154x3609","21","D15","IgM","SARS","S",0.848093503293614
"CC015xCC018","X3154x3609","54","D10","IgM","SARS","S",1.17659972005806
"CC015xCC018","X3154x3609","16","D7","IgM","SARS","S",3.41472763957006
"CC015xCC018","X3154x3609","9","D7","IgM","SARS","S",3.85424696190522
