"RIX","alias","ID","day","isotype","virus","antigen","halfmax","last_positive"
"CC001xCC074","X13140x3015","43","D29","IgM","SARS","S",NA,100
"CC001xCC074","X13140x3015","43","D29","TotalG","SARS","N",3000,30000
"CC001xCC074","X13140x3015","43","D29","TotalG","SARS","S",1e+05,1e+06
"CC001xCC074","X13140x3015","50","D29","IgG1","SARS","N",1000,10000
"CC001xCC074","X13140x3015","50","D29","IgG1","SARS","S",NA,3000
"CC001xCC074","X13140x3015","50","D29","IgG2ac","SARS","N",1000,10000
"CC001xCC074","X13140x3015","50","D29","IgG2ac","SARS","S",30000,1e+06
"CC001xCC074","X13140x3015","50","D29","IgG2b","SARS","N",NA,3000
"CC001xCC074","X13140x3015","50","D29","IgG2b","SARS","S",3000,30000
"CC001xCC074","X13140x3015","50","D29","IgG3","SARS","N",NA,NA
"CC001xCC074","X13140x3015","50","D29","IgG3","SARS","S",NA,NA
"CC001xCC074","X13140x3015","50","D29","IgM","SARS","N",NA,NA
"CC001xCC074","X13140x3015","50","D29","IgM","SARS","S",NA,100
"CC001xCC074","X13140x3015","50","D29","TotalG","SARS","N",3000,30000
"CC001xCC074","X13140x3015","50","D29","TotalG","SARS","S",30000,1e+06
"CC001xCC074","X13140x3015","57","D29","IgG1","SARS","N",NA,10000
"CC001xCC074","X13140x3015","57","D29","IgG1","SARS","S",3000,1e+05
"CC001xCC074","X13140x3015","57","D29","IgG2ac","SARS","N",1000,30000
"CC001xCC074","X13140x3015","57","D29","IgG2ac","SARS","S",1e+05,1e+06
"CC001xCC074","X13140x3015","57","D29","IgG2b","SARS","N",NA,3000
"CC001xCC074","X13140x3015","57","D29","IgG2b","SARS","S",3000,1e+05
"CC001xCC074","X13140x3015","57","D29","IgG3","SARS","N",NA,NA
"CC001xCC074","X13140x3015","57","D29","IgG3","SARS","S",NA,NA
"CC001xCC074","X13140x3015","57","D29","IgM","SARS","N",NA,100
"CC001xCC074","X13140x3015","57","D29","IgM","SARS","S",NA,100
"CC001xCC074","X13140x3015","57","D29","TotalG","SARS","N",3000,30000
