"RIX","alias","ID","day","isotype","virus","antigen","AUC"
"CC032xCC017","X8002x3032","61","D29","IgG2b","SARS","N",0.285067516166112
"CC032xCC017","X8002x3032","52","D15","IgG2b","SARS","N",0.211754102538468
"CC032xCC017","X8002x3032","59","DRECHAL","IgG2ac","SARS","N",0.318037972628496
"CC032xCC017","X8002x3032","31","DRECHAL","IgG2ac","SARS","N",1.29083293216375
"CC032xCC017","X8002x3032","61","D29","IgG2ac","SARS","N",0.509243433308127
"CC032xCC017","X8002x3032","60","D29","IgG2ac","SARS","N",1.35284937013063
"CC032xCC017","X8002x3032","52","D15","IgG2ac","SARS","N",1.64366611615444
"CC032xCC017","X8002x3032","60","DRECHAL","IgG1","SARS","N",1.67614634579138
"CC032xCC017","X8002x3032","59","DRECHAL","IgG1","SARS","N",-0.0876470456462383
"CC032xCC017","X8002x3032","31","DRECHAL","IgG1","SARS","N",1.08440845720586
"CC032xCC017","X8002x3032","61","D29","IgG1","SARS","N",-0.0823071968632007
"CC032xCC017","X8002x3032","58","D15","IgG1","SARS","N",0.242698347859406
"CC032xCC017","X8002x3032","52","D15","IgG1","SARS","N",1.37465967537605
"CC032xCC017","X8002x3032","51","D15","IgG1","SARS","N",1.48501573811203
"CC032xCC017","X8002x3032","60","DRECHAL","IgG3","SARS","S",0.676854270624416
"CC032xCC017","X8002x3032","31","DRECHAL","IgG3","SARS","S",1.01517056862033
"CC032xCC017","X8002x3032","61","D29","IgG3","SARS","S",0.213812965599752
"CC032xCC017","X8002x3032","60","D29","IgG3","SARS","S",1.13829829193141
"CC032xCC017","X8002x3032","52","D15","IgG3","SARS","S",1.26282761145508
"CC032xCC017","X8002x3032","60","DRECHAL","IgG2b","SARS","S",3.36868832285788
"CC032xCC017","X8002x3032","59","DRECHAL","IgG2b","SARS","S",3.07873741274462
"CC032xCC017","X8002x3032","60","D29","IgG2b","SARS","S",3.65886491204174
"CC032xCC017","X8002x3032","59","D29","IgG2b","SARS","S",3.4322178663955
"CC032xCC017","X8002x3032","52","D15","IgG2b","SARS","S",2.69478672664529
"CC032xCC017","X8002x3032","60","DRECHAL","IgG2ac","SARS","S",5.67092999186746
"CC032xCC017","X8002x3032","31","DRECHAL","IgG2ac","SARS","S",6.99538090198074
"CC032xCC017","X8002x3032","60","D29","IgG2ac","SARS","S",8.35600128845764
"CC032xCC017","X8002x3032","58","D15","IgG2ac","SARS","S",6.95840666509429
"CC032xCC017","X8002x3032","52","D15","IgG2ac","SARS","S",6.73005415876842
"CC032xCC017","X8002x3032","51","D15","IgG2ac","SARS","S",5.93484180928251
"CC032xCC017","X8002x3032","31","DRECHAL","IgG1","SARS","S",0.296643041208233
"CC032xCC017","X8002x3032","59","D29","IgG1","SARS","S",2.04190201642747
"CC032xCC017","X8002x3032","58","D15","IgG1","SARS","S",0.372675469114125
"CC032xCC017","X8002x3032","52","D15","IgG1","SARS","S",1.39438314212019
"CC012xCC038","X8005x8049","108","DRECHAL","IgG2ac","SARS","N",1.48863102789422
"CC012xCC038","X8005x8049","65","D29","IgG2ac","SARS","N",0.939856930978746
"CC012xCC038","X8005x8049","57","D29","IgG2ac","SARS","N",0.664223662945072
"CC015xCC018","X3154x3609","21","D15","IgG2ac","SARS","S",4.04862301901821
"CC012xCC038","X8005x8049","88","D15","IgG2ac","SARS","N",0.261414253755431
"CC012xCC038","X8005x8049","98","DRECHAL","IgG2ac","SARS","S",2.80246642421136
"CC012xCC038","X8005x8049","63","D29","IgG2ac","SARS","S",5.44196953259358
"CC012xCC038","X8005x8049","57","D29","IgG2ac","SARS","S",5.6111034726691
"CC012xCC038","X8005x8049","88","D15","IgG2ac","SARS","S",3.45751862248031
"CC012xCC038","X8005x8049","108","DRECHAL","TotalG","SARS","N",3.89822119879167
"CC012xCC038","X8005x8049","98","DRECHAL","TotalG","SARS","N",3.39626051550384
"CC012xCC038","X8005x8049","97","D15","TotalG","SARS","N",2.68029316742368
"CC012xCC038","X8005x8049","87","D15","TotalG","SARS","N",1.67859437153637
"CC012xCC038","X8005x8049","99","DRECHAL","TotalG","SARS","S",5.50825362669755
"CC012xCC038","X8005x8049","63","D29","TotalG","SARS","S",7.84370120441464
"CC012xCC038","X8005x8049","87","D15","TotalG","SARS","S",3.76740733713613
"CC027xCC045","X8027x8045","79","DRECHAL","IgG2ac","SARS","N",0.838109045204719
"CC027xCC045","X8027x8045","78","DRECHAL","IgG2ac","SARS","N",0.0627381125994685
"CC027xCC045","X8027x8045","74","DRECHAL","IgG2ac","SARS","N",1.16765102227122
"CC027xCC045","X8027x8045","155","D29","IgG2ac","SARS","N",0.545959563218097
"CC027xCC045","X8027x8045","154","D29","IgG2ac","SARS","N",0.202221674632577
"CC027xCC045","X8027x8045","153","D29","IgG2ac","SARS","N",1.36182405504497
"CC027xCC045","X8027x8045","61","D15","IgG2ac","SARS","N",0.56667146467612
"CC027xCC045","X8027x8045","59","D15","IgG2ac","SARS","N",0.328711229416183
"CC027xCC045","X8027x8045","58","D15","IgG2ac","SARS","N",0.545867600209086
"CC027xCC045","X8027x8045","135","D10","IgG2ac","SARS","N",0.303590394911392
"CC027xCC045","X8027x8045","79","DRECHAL","TotalG","SARS","N",2.70485536288112
"CC027xCC045","X8027x8045","75","DRECHAL","TotalG","SARS","N",0.0157350042172466
"CC027xCC045","X8027x8045","155","D29","TotalG","SARS","N",2.4378522544989
"CC027xCC045","X8027x8045","153","D29","TotalG","SARS","N",2.73096953259358
"CC027xCC045","X8027x8045","61","D15","TotalG","SARS","N",2.82127384508851
"CC027xCC045","X8027x8045","60","D15","TotalG","SARS","N",2.79453550847509
"CC027xCC045","X8027x8045","58","D15","TotalG","SARS","N",2.13480005622995
"CC027xCC045","X8027x8045","135","D10","TotalG","SARS","N",1.13820966131856
"CC027xCC045","X8027x8045","127","D10","TotalG","SARS","N",1.97086292372925
"CC015xCC018","X3154x3609","62","D10","IgG2ac","SARS","S",2.65455460679631
"CC027xCC045","X8027x8045","125","D10","TotalG","SARS","N",2.55342399911697
