"RIX","ID","day","virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC074","176","7","Influenza","HA","4_13iv","2013_12_05",-Inf,-Inf,-Inf,-Inf,-Inf,NA
"CC001xCC074","177","7","Influenza","HA","4_13iv","2013_12_03",-Inf,-Inf,-Inf,-Inf,-Inf,0
"CC002xCC011","23","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC002xCC011","23","7","Influenza","HA.1","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC002xCC011","37","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC002xCC011","37","7","Influenza","HA.1","10_13x","2014_01_17",NA,NA,NA,NA,NA,1
"CC002xCC011","48","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC002xCC021","124","7","Influenza","HA","1_13i","2013_12_03",0.477121254719662,NA,NA,0.477121254719662,0,NA
"CC002xCC021","141","7","Influenza","HA","1_13i","2013_12_03",-Inf,NA,NA,0,0,NA
"CC003xCC051","100","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC003xCC051","101","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC003xCC051","101","7","Influenza","HA.1","10_13x","2014_01_17",NA,NA,NA,NA,NA,1
"CC003xCC051","109","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC003xCC062","44","7","Influenza","HA","1_15i","2015_11_09",-Inf,0,0,-Inf,0.301029995663981,1.73205080756888
"CC003xCC062","53","7","Influenza","HA","1_15i","2015_11_16",-Inf,0,0.301029995663981,0,0.602059991327962,2
"CC003xCC062","62","7","Influenza","HA","1_15i","2015_11_09",-Inf,-Inf,0,-Inf,0.301029995663981,1.73205080756888
"CC004xCC011","185","7","Influenza","HA","5_13v","2013_12_05",-Inf,-Inf,0,-Inf,0.301029995663981,NA
"CC004xCC011","186","7","Influenza","HA","5_13v","2013_12_05",-Inf,0.477121254719662,0.477121254719662,0,0,NA
"CC004xCC011","187","7","Influenza","HA","5_13v","2013_12_03",-Inf,-Inf,-Inf,-Inf,0.301029995663981,1
"CC004xCC012","112","7","Influenza","HA","12_13xii","2014_01_13",-Inf,-Inf,-Inf,0.301029995663981,-Inf,NA
"CC004xCC012","113","7","Influenza","HA","12_13xii","2014_01_13",0.301029995663981,0,0.301029995663981,0,0,NA
"CC004xCC012","113","7","Influenza","HA","12_13xii","2014_01_17",NA,NA,NA,NA,NA,1.73205080756888
"CC004xCC012","84","7","Influenza","HA","12_13xii","2014_01_13",-Inf,-Inf,-Inf,-Inf,-Inf,NA
"CC004xCC012","84","7","Influenza","HA","12_13xii","2014_01_17",NA,NA,NA,NA,NA,0
"CC004xCC012","85","7","Influenza","HA","12_13xii","2014_01_13",-Inf,0.301029995663981,-Inf,-Inf,-Inf,NA
"CC005xCC001","11","7","Influenza","HA","4_13iv","2013_12_03",-Inf,NA,NA,0,0.301029995663981,NA
"CC005xCC001","5","7","Influenza","HA","4_13iv","2013_12_03",-Inf,NA,NA,-Inf,-Inf,NA
"CC005xCC038","128","7","Influenza","HA","7_16vii","2017_01_02",-Inf,-Inf,-Inf,-Inf,-Inf,1.4142135623731
"CC005xCC038","129","7","Influenza","HA","7_16vii","2016_12_23",-Inf,-Inf,-Inf,-Inf,-Inf,1
"CC005xCC038","130","7","Influenza","HA","7_16vii","2016_12_23",-Inf,-Inf,-Inf,-Inf,0.301029995663981,1.4142135623731
"CC005xCC038","50","7","Influenza","HA","3_16iii","2017_01_02",-Inf,-Inf,-Inf,-Inf,-Inf,1.4142135623731
"CC005xCC038","51","7","Influenza","HA","3_16iii","2017_01_02",-Inf,-Inf,-Inf,-Inf,-Inf,1
"CC005xCC038","55","7","Influenza","HA","3_16iii","2017_01_02",0,-Inf,-Inf,-Inf,0.477121254719662,1.73205080756888
