"","upper","lower","day"
"antigen",0.562932646858003,0.39172321716669,15
"cohort",0.569751950405603,0.398358837522749,15
"assay_date",0.627571831760031,0.457271168198801,15
"IgG1",0.52425476763527,0.355247475063976,15
"IgG2ac",0.371122866731852,0.227839693462476,15
"IgG2b",0.566192777364583,0.394887658833165,15
