"","upper","lower","day"
"antigen",0.603112458924733,0.431754483586046,10
"cohort",0.587031089726851,0.4154593108587,10
"assay_date",0.497832013993985,0.331409015923464,10
"IgG1",0.5067344481594,0.339346506409927,10
"IgG2ac",0.571994069546667,0.400554407617259,10
"IgG2b",0.53758770150852,0.367603378379036,10
