"","RIX","day","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"1","CC001xCC055","d7_d10",4.40252822643966,0.209668564880038,0.217612693839816,1.68220637789444,6.70083033184137,0.266037472825808
"2","CC001xCC055","d10_d15",NA,NA,NA,NA,NA,NA
"3","CC001xCC055","d15_d45",NA,NA,NA,NA,NA,NA
"4","CC001xCC074","d7_d10",0.00369200124422606,0.0241341778647957,0.28209422955796,0.226703932204482,0.00388550259781215,NA
"5","CC001xCC074","d10_d15",0.731298788151559,1.12115506467809,0.357581573105905,0.0573702852002727,41.7056394133469,NA
"6","CC001xCC074","d15_d45",1.32992518553434,1.61496127576638,1.68410371929503,0.342097320705268,2.35539240627609,NA
"7","CC002xCC011","d7_d10",0.27270702878387,0.0598724312985908,0.0292362783214135,0.799464034441864,0.0233190092245895,0.0819595536060156
"8","CC002xCC011","d10_d15",2.79203534643212,1.16102602643001,2.58443949305307,0.0468556225536298,0.596510095766957,0.520767434390719
"9","CC002xCC011","d15_d45",7.94284809334232,1.74861270442708,2.81003253095344,0.371169204242786,0.170423044139963,1.52473040828709
"10","CC002xCC021","d7_d10",0.514036453063226,0.632324852260387,0.0153855046067455,0.216900123224114,5.67855700109986,NA
"11","CC002xCC021","d10_d15",1.1401813179134,0.797706562004127,16.8888890521855,1.36990079743706,0.0962977897325441,NA
"12","CC002xCC021","d15_d45",1.84006715506018,1.47677926623198,5.69974131485585,1.20439073547327,0.310888006083116,1.22047528028693
"13","CC003xCC051","d7_d10",1.5883940356456,0.0267019383513483,0.059632852884275,0.272881901532646,1.60039588521899,0.0309169825114911
"14","CC003xCC051","d10_d15",0.639553392567964,2.75522049461657,1.88825314244304,0.460369035623402,0.337367036407412,2.68467817910799
"15","CC003xCC051","d15_d45",7.43906196480892,3.42942343995265,3.67587129762496,1.03426544655496,0.525622412304648,2.96765716123562
"16","CC003xCC062","d7_d10",NA,NA,NA,NA,NA,NA
"17","CC003xCC062","d10_d15",NA,NA,NA,NA,NA,NA
"18","CC003xCC062","d15_d45",19.246732844772,10.9047187901685,8.38538720876099,3.9782918266801,3.80586366987761,2.44795322794446
"19","CC004xCC011","d7_d10",1.68887864644361,0.503953955434998,3.00109350217733,1.68281279147094,0.128598360954554,NA
"20","CC004xCC011","d10_d15",0.0959607452748748,0.297802298665074,0.20505585073368,0.0292864023647432,0.156045809128111,NA
"21","CC004xCC011","d15_d45",1.60811571134655,0.766964877767865,0.809449877034797,0.260626877252526,0.0953824064830047,NA
"22","CC004xCC012","d7_d10",2.24138357049824,3.9330470621248,3.33519697582108,8.57162085621306,2.25787559422873,0.537735003614792
"23","CC004xCC012","d10_d15",1.62553720842534,0.20788670491822,0.271033081101788,0.0682615408321626,0.0190541475027549,0.458610470439988
"24","CC004xCC012","d15_d45",3.5696343369585,1.23857468068857,1.33976614260011,0.699920090982432,0.0851199682130862,1.17778825585368
"25","CC005xCC001","d7_d10",NA,NA,NA,NA,NA,NA
"26","CC005xCC001","d10_d15",NA,NA,NA,NA,NA,NA
"27","CC005xCC001","d15_d45",0.692300634885339,1.75413387566435,1.90938422823154,3.64419127347488,0.296665003001483,1.45168723624144
"28","CC005xCC020","d7_d10",NA,NA,NA,NA,NA,NA
"29","CC005xCC020","d10_d15",NA,NA,NA,NA,NA,NA
"30","CC005xCC020","d15_d45",NA,NA,NA,NA,NA,NA
"31","CC005xCC038","d7_d10",NA,NA,NA,NA,NA,NA
"32","CC005xCC038","d10_d15",NA,NA,NA,NA,NA,NA
"33","CC005xCC038","d15_d45",NA,NA,NA,NA,NA,NA
"34","CC005xCC040","d7_d10",0.0166088737713985,0.20422595960911,0.0188954865432405,0.0346207183228065,0.111371768955197,0.0786174363062616
"35","CC005xCC040","d10_d15",0.961821639423005,1.19394391005987,5.50638344201311,5.7761868955974,1.08596117534006,1.43422584540258
"36","CC005xCC040","d15_d45",0.808844880342433,1.43913379872461,2.87753041605252,2.2808701675198,0.317433687070923,1.36209666789853
"37","CC006xCC007","d7_d10",4.75715794173078,0.301284918350893,0.0594142878942619,0.0405579007582977,0.876380983351134,0.425500477146228
"38","CC006xCC007","d10_d15",0.00388338411434482,0.946580839073644,1.21763241363671,0.234008918979429,0.621077155931213,0.508702415170029
"39","CC006xCC007","d15_d45",0.065054193354113,1.30851056445064,1.18058503874159,0.118843361721079,0.266137618141888,0.947338520527314
"40","CC006xCC039","d7_d10",NA,NA,NA,NA,NA,NA
"41","CC006xCC039","d10_d15",NA,NA,NA,NA,NA,NA
"42","CC006xCC039","d15_d45",NA,NA,NA,NA,NA,NA
"43","CC007xCC070","d7_d10",0.678270418026787,0.117468227571618,0.0048909102274061,0.0141535248933284,0.508201105003693,0.0646631186534607
"44","CC007xCC070","d10_d15",0.520598128816757,0.528831511574667,11.1001222408999,102.076417483588,0.526338496423646,1.12335580437044
"45","CC007xCC070","d15_d45",2.22007748130105,1.21560768631718,4.83422735634972,21.5777997294649,0.270400606726091,1.63297667679872
"46","CC007xCC075","d7_d10",NA,NA,NA,NA,NA,NA
"47","CC007xCC075","d10_d15",NA,NA,NA,NA,NA,NA
"48","CC007xCC075","d15_d45",NA,NA,NA,NA,NA,NA
"49","CC008xCC018","d7_d10",NA,NA,NA,NA,NA,NA
"50","CC008xCC018","d10_d15",NA,NA,NA,NA,NA,NA
"51","CC008xCC018","d15_d45",NA,NA,NA,NA,NA,NA
"52","CC009xCC040","d7_d10",0.387310782729166,0.0791241633456935,0.0455029998666331,0.148952746360987,0.0833919682944496,0.324792805237432
