"","RIX","day","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"1","CC001xCC055","d7_d10",5.42750891245222,12.2975594938295,26.9748652578167,4.58703657442788,0.302824038528404,10.8969934320879
"2","CC001xCC055","d10_d15",23.8947611863237,2.57841165059811,5.87007309471953,7.71634218113767,2.02917250258183,2.78425259538192
"3","CC001xCC055","d15_d45",NA,NA,NA,NA,NA,NA
"4","CC001xCC074","d7_d10",492.572904122002,59.6848244569419,16.6955027675568,26.3028986098043,14.535209069721,58.8627784279007
"5","CC001xCC074","d10_d15",1.81857977489048,1.44044416927295,4.70970499029671,5.96297054321845,0.0564765926001438,NA
"6","CC001xCC074","d15_d45",1.32576776243673,1.61308271769145,1.68150371240741,0.342097320705268,2.35539240627609,NA
"7","CC002xCC011","d7_d10",10.431794258471,24.3404654687103,35.5042775036235,9.9085770846643,12.2518148727671,35.723142751665
"8","CC002xCC011","d10_d15",2.84482361711226,1.52390657825436,1.13890418939812,7.65172315651292,0.28570018403602,2.81533067023495
"9","CC002xCC011","d15_d45",7.94284809334232,1.78600578129974,2.81003253095344,0.38425799329563,0.170423044139963,1.58567030621517
"10","CC002xCC021","d7_d10",3.13953865320627,2.92773773615804,21.9352363461255,4.05339090703796,0.568525120328633,NA
"11","CC002xCC021","d10_d15",1.61383731354905,1.85128133147329,0.337484679853366,0.879180987212037,3.2284023023433,NA
"12","CC002xCC021","d15_d45",1.84006715506018,1.47641928435436,5.69974131485585,1.20439073547327,0.310888006083116,1.22047528028693
"13","CC003xCC051","d7_d10",7.32290030410446,45.9305393131286,32.644836226421,8.2328684809262,0.973517589758699,34.0288056666765
"14","CC003xCC051","d10_d15",11.6316511666669,1.26323796538488,1.94670471612142,2.24660080614333,1.55801354483813,1.1614464275869
"15","CC003xCC051","d15_d45",7.43906196480892,3.12223986682681,3.39735744225432,1.03426544655496,0.525622412304648,2.67266477877118
"16","CC003xCC062","d7_d10",NA,NA,NA,NA,NA,NA
"17","CC003xCC062","d10_d15",NA,NA,NA,NA,NA,NA
"18","CC003xCC062","d15_d45",19.246732844772,10.8812948815674,8.38538720876099,3.9782918266801,3.80586366987761,2.53828152590279
"19","CC004xCC011","d7_d10",9.92259437253546,5.11041974605592,1.31534073371877,5.28831566954475,4.75314138273237,NA
"20","CC004xCC011","d10_d15",16.7580577530966,2.575416244958,3.94746052911256,8.89924525404611,0.611246191204643,NA
"21","CC004xCC011","d15_d45",1.60811571134655,0.766964877767865,0.809449877034797,0.260626877252526,0.0953824064830047,NA
"22","CC004xCC012","d7_d10",0.979739530727035,1.51483851673289,1.48212628013647,1.19621548467907,1.97852672399057,4.77589693570857
"23","CC004xCC012","d10_d15",2.19597208753923,5.42667367918458,4.55595438183844,9.58847914984622,4.46726720262763,2.32362569330362
"24","CC004xCC012","d15_d45",3.41764830822227,1.23623873027219,1.32793721000179,0.743185385672507,0.0851199682130862,1.17378298405703
"25","CC005xCC001","d7_d10",NA,NA,NA,NA,NA,NA
"26","CC005xCC001","d10_d15",NA,NA,NA,NA,NA,NA
"27","CC005xCC001","d15_d45",0.732984527792149,1.67655314825428,1.86989751218347,3.50282976640839,0.296665003001483,1.40450143695263
"28","CC005xCC020","d7_d10",NA,NA,NA,NA,NA,NA
"29","CC005xCC020","d10_d15",NA,NA,NA,NA,NA,NA
"30","CC005xCC020","d15_d45",NA,NA,NA,NA,NA,NA
"31","CC005xCC038","d7_d10",NA,NA,NA,NA,NA,NA
"32","CC005xCC038","d10_d15",NA,NA,NA,NA,NA,NA
"33","CC005xCC038","d15_d45",NA,NA,NA,NA,NA,NA
"34","CC005xCC040","d7_d10",50.6326330643071,5.90209645733081,27.6563837811479,11.4057343821294,2.62460285511243,12.0801272365531
"35","CC005xCC040","d10_d15",0.839394572626508,1.16400086528609,0.522580827571374,0.394874717308451,0.292306662778733,0.903620741981952
"36","CC005xCC040","d15_d45",0.810344672545504,1.49027054577052,2.87753041605252,2.2808701675198,0.317433687070923,1.43156847246756
"37","CC006xCC007","d7_d10",3.52141634584711,4.58819779437014,16.3188735920355,12.521808267421,0.488953731619976,4.37664524707677
"38","CC006xCC007","d10_d15",15.8602349591315,1.33665230756963,0.969574253707262,0.507858257024492,0.428509752130321,1.76867899746986
"39","CC006xCC007","d15_d45",0.0687116892726577,1.35325083910611,1.18058503874159,0.118843361721079,0.266137618141888,0.997464792816318
"40","CC006xCC039","d7_d10",3.83324498350276,8.44763498698336,8.54400096738219,4.66914887722707,4.59216755079312,3.65863917385181
"41","CC006xCC039","d10_d15",NA,NA,NA,NA,NA,NA
"42","CC006xCC039","d15_d45",NA,NA,NA,NA,NA,NA
"43","CC007xCC070","d7_d10",6.28727784114329,19.5684170624339,89.0450164997727,14.9354091832468,1.01089703146037,22.4805018339273
"44","CC007xCC070","d10_d15",4.26447456956281,2.29866726870633,0.435511181898283,0.21138868566713,0.513738988433115,1.45365935747658
"45","CC007xCC070","d15_d45",2.22007748130105,1.21560768631718,4.83422735634972,21.5777997294649,0.270400606726091,1.63297667679872
"46","CC007xCC075","d7_d10",26.8419789499145,2.09188036417602,3.30246230782342,3.86119024669042,7.91656765241349,3.63463321672046
"47","CC007xCC075","d10_d15",NA,NA,NA,NA,NA,NA
"48","CC007xCC075","d15_d45",NA,NA,NA,NA,NA,NA
"49","CC008xCC018","d7_d10",6.6709052032752,27.0053859776971,17.7441053893576,10.7553811129946,2.5810299624766,9.05041432426128
"50","CC008xCC018","d10_d15",NA,NA,NA,NA,NA,NA
