"RIX","ID","day","virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC055","109","15","Influenza","HA","8_14viii","2015_05_06",1.27139923187329,9.41197818569842,2.93626991028136,1.42166285003079,-0.192129574783825,10.22507569343
"CC001xCC074","102","15","Influenza","HA","3_13iii","2014_01_13",2.04049964100542,4.04340999749046,2.12947679885532,0.4830048066682,-0.866326350060695,NA
"CC002xCC011","32","15","Influenza","HA","10_13x","2014_05_20",0.719153606604676,3.74875894740622,1.42954442250133,1.76737429588641,-0.780979988066707,5.28581447807133
"CC002xCC021","170","15","Influenza","HA","2_13ii","2013_12_03",2.12370878628808,6.27807681349976,2.17628599930335,2.15098361777544,-0.194648781284386,7.26870098040072
"CC002xCC021","201","15","Influenza","HA","3_13iii","2014_01_13",0.820125834765855,3.94211279781576,1.89427460560207,1.40219118847144,-1.30216787466954,NA
"CC002xCC021","202","15","Influenza","HA","3_13iii","2013_12_03",0.923255004915236,2.96866188770249,1.8196418834108,1.15667426341003,-0.243161215510515,4.49625007028745
"CC003xCC051","36","15","Influenza","HA","8_13viii","2013_12_03",NA,NA,1.62033198738963,1.4702514944679,-0.245105822656507,NA
"CC003xCC051","36","15","Influenza","HA","8_13viii","2013_12_12",2.10114699783791,NA,NA,NA,NA,NA
"CC003xCC051","36","15","Influenza","HA.1","8_13viii","2013_12_03",0.4864430359819,NA,NA,NA,NA,NA
"CC003xCC051","37","15","Influenza","HA","8_13viii","2013_12_03",NA,2.60885802323545,1.54335341546971,1.2865338023296,-0.831574387007968,3.27353772080153
"CC003xCC051","37","15","Influenza","HA","8_13viii","2013_12_12",1.83442262225404,NA,NA,NA,NA,NA
"CC003xCC051","37","15","Influenza","HA.1","8_13viii","2013_12_03",0.880768404558621,NA,NA,NA,NA,NA
"CC004xCC011","236","15","Influenza","HA","7_13vii","2013_12_03",1.25683107978037,NA,1.88551110167189,1.83896421580182,-0.240785039388917,NA
"CC004xCC011","237","15","Influenza","HA","7_13vii","2013_12_03",0.618420223860038,5.39889045114134,2.26129799817224,1.88974140320582,0.0962466548645126,6.66600151247158
"CC004xCC011","238","15","Influenza","HA","7_13vii","2013_12_03",0.973312698285386,NA,1.47448195373518,1.14816571727205,-0.159505431963657,NA
"CC004xCC012","81","15","Influenza","HA","1_14i","2014_05_26",1.7667767182604,10.3602091854776,3.01521691497007,2.94511400932711,0.363332923949585,11.8492573793086
"CC004xCC012","82","15","Influenza","HA","1_14i","2014_05_26",1.09523704712402,9.12603304432163,2.69104797003753,2.12260185738454,0.0435877118510072,10.3341078973219
"CC004xCC012","83","15","Influenza","HA","1_14i","2014_05_26",0.883587951130545,9.1023859986754,2.7691910144678,2.6337975539296,0.0240837432235918,10.464071913006
"CC005xCC001","64","15","Influenza","HA","9_13ix","2014_05_20",2.92587518835331,6.01537000873645,2.62824539820837,0.743203612928575,-0.442265187917725,10.6900130499447
"CC005xCC001","65","15","Influenza","HA","9_13ix","2014_05_20",0.617881041369411,3.49104326552414,1.74680496439702,0.369312635903568,-1.06641109295706,5.24436023556189
"CC005xCC040","133","15","Influenza","HA","8_14viii","2015_05_06",0.221971197562198,4.66310302464121,1.56163009284268,0.16003456292387,-1.39380923010222,5.00194287342424
"CC007xCC070","64","15","Influenza","HA","7_15vii","2016_01_13",0.453335286026555,1.3827827500203,0.976619837209143,0.254764896763097,-1.17758472737673,2.14500420063893
"CC009xCC040","75","15","Influenza","HA","3_14iii","2015_04_28",1.87437315952408,7.84107658948581,2.59142658381383,1.37377415131059,-0.27553197205123,8.33639355952357
"CC009xCC040","77","15","Influenza","HA","3_14iii","2015_04_28",1.64172635234914,7.94160924140565,2.53956501219034,2.28350909302208,0.265960127810859,8.51514500170771
"CC009xCC040","78","15","Influenza","HA","3_14iii","2015_04_28",1.59864856469853,7.63496219575941,2.3590103365296,1.66139749644586,-0.453756437737156,7.85902749959908
"CC010xCC015","108","15","Influenza","HA","4_14iv","2015_05_06",0.895272017601911,6.42827938981112,2.35249590110519,1.61466918190502,-0.0731218322664656,7.3134426494103
"CC010xCC015","109","15","Influenza","HA","4_14iv","2015_05_06",0.919264907312903,5.294295827778,1.84004621264371,1.57940374386663,0.0482051406436757,6.12537090479223
"CC011xCC032","62","15","Influenza","HA","11_13xi","2014_01_17",NA,NA,NA,NA,NA,3.44586135563163
"CC011xCC032","63","15","Influenza","HA","11_13xi","2014_01_17",NA,NA,NA,NA,NA,1.25186202767346
"CC011xCC032","63","15","Influenza","HA","11_13xi","2014_04_15",0.779662917549258,3.79430470489678,1.19664010876457,0.942161177427758,-1.15969377557596,NA
"CC011xCC042","123","15","Influenza","HA","7_13vii","2014_01_13",0.239832329657853,3.56630893334873,1.74918054190493,0.984066409613857,-0.617748466308427,NA
"CC011xCC042","92","15","Influenza","HA","7_13vii","2013_12_03",1.22797312933405,NA,1.86190615757678,0.302694471186727,-0.986104815783214,NA
"CC011xCC042","93","15","Influenza","HA","7_13vii","2014_04_15",1.3623412792122,5.51462167493454,1.90774670961152,1.28620019805404,-0.501753463911702,NA
"CC012xCC032","110","15","Influenza","HA","9_13ix","2014_05_20",1.21102809663018,6.90233402442043,2.4478924007398,1.87878962696395,-0.0341244995007677,8.59148751084502
"CC012xCC032","111","15","Influenza","HA","9_13ix","2014_05_20",0.72408323253122,7.24508235822235,2.38561883074385,1.66991872968142,-0.84116548492537,8.59711167774598
