"RIX","ID","day","virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC074","176","7","Influenza","HA","4_13iv","2013_12_05",NA,-1.16711673963839,-1.38034864199769,-2.0239245486562,-1.14762489658163,NA
"CC001xCC074","177","7","Influenza","HA","4_13iv","2013_12_03",-2.12305210063947,-2.78936934428157,-1.47221097951076,-1.95284022046774,-2.06264167176911,-1.07284201551836
"CC002xCC011","23","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,-1.28290721253224
"CC002xCC011","23","7","Influenza","HA.1","10_13x","2014_01_17",NA,NA,NA,NA,NA,-1.27521661844848
"CC002xCC011","37","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,-0.919556077972293
"CC002xCC011","37","7","Influenza","HA.1","10_13x","2014_01_17",NA,NA,NA,NA,NA,-0.374034046616871
"CC002xCC011","48","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,-1.39380923010222
"CC002xCC021","124","7","Influenza","HA","1_13i","2013_12_03",-0.125382849558643,NA,NA,-0.0871091034611432,-0.588480521751553,NA
"CC002xCC021","141","7","Influenza","HA","1_13i","2013_12_03",-1.39961211336504,NA,NA,-0.770898609205602,-0.853761741068516,NA
"CC003xCC051","100","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,-1.2803830996453
"CC003xCC051","101","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,-1.11068087909143
"CC003xCC051","101","7","Influenza","HA.1","10_13x","2014_01_17",NA,NA,NA,NA,NA,-0.246679387069436
"CC003xCC051","109","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,-0.792232650775967
"CC003xCC062","44","7","Influenza","HA","1_15i","2015_11_09",-2.21457846337582,-0.691617661675658,-0.703636991878676,-1.04302324591865,-0.252545921860665,0.0489750572900158
"CC003xCC062","53","7","Influenza","HA","1_15i","2015_11_16",-1.43977353602998,-0.560951894802075,-0.576894306544084,-0.582762628103064,0.164057400853056,0.318911871976088
"CC003xCC062","62","7","Influenza","HA","1_15i","2015_11_09",-2.22350793377289,-0.92913044855594,-0.725051131569915,-1.21198060552313,-0.251741875059788,-0.0716552355946908
