"","upper","lower","day"
"IgG1",0.497951653331424,0.331515063703403,"15"
"IgG2ac",0.339919509287493,0.204760860204796,"15"
"IgG2b",0.443753043744748,0.285143075757422,"15"
"IgG3",0.491030864063251,0.325408156051134,"15"
"IgM",0.661370916584953,0.494065850487646,"15"
"TotalG",0.395056419425027,0.246149724019269,"15"
