"","upper","lower","day"
"IgG1",0.430133518884071,0.273993695679338,"7"
"IgG2ac",0.286547197693148,0.167233785084342,"7"
"IgG2b",0.307119298459729,0.181418157924711,"7"
"IgG3",0.357103636912011,0.217362242035035,"7"
"IgM",0.262705380835312,0.151215215851888,"7"
"TotalG",0.472445117000425,0.309281926468469,"7"
