"","upper","lower","day"
"IgG1",0.511692786552105,0.343808577912277,"7"
"IgG2ac",0.564577230448281,0.393317733579353,"7"
"IgG2b",0.70316527380021,0.542216567457865,"7"
"IgG3",0.502983834071026,0.335990916810774,"7"
"IgM",0.695841936196606,0.533556441898829,"7"
"TotalG",0.802077100196189,0.669556530163626,"7"
