"A"	"X"
"1"	5.00956895414457	3.62682672294807
"2"	6.0372253362055	4.04488864412226
"3"	6.64288778372036	4.49220863673202
"4"	6.51313208660953	2.97946807497753
"5"	5.5673428008954	3.74281504415113
"6"	6.56794351924331	3.2040200255486
"7"	4.93673022102865	3.93089287401075
"8"	6.34885149467968	4.27686424666942
"9"	7.91579394450185	3.33077930498418
"10"	7.51670770985419	2.5551677620493
"11"	5.74034428776337	4.52653584082317
"12"	6.2435926155309	5.9367576918004
"13"	4.80189162222714	2.4459033866271
"14"	5.60390193181473	2.5571931033559
"15"	4.6166000720547	2.82728143810198
"16"	5.99518983697861	4.15411908531245
"17"	5.46331321141358	3.15715983103094
"18"	5.42565142007661	4.40436210227281
"19"	5.46858282189133	4.15233644782184
"20"	5.01789689704005	3.06102457693041
"21"	6.10210998030916	3.70831423329837
"22"	5.27869971751486	2.2156320123843
"23"	5.46336579592306	3.06130756702282
"24"	5.17895331200603	2.65561498667738
"25"	6.57625930648117	4.87517849260757
"26"	6.53118547047922	1.69738083488507
"27"	6.7199120321595	3.20546235309985
"28"	5.85905407797534	5.15711053528532
"29"	6.09589976550728	3.46723277509939
"30"	6.69125044786106	4.61455847206406
"31"	6.02917320810583	4.60242447997177
"32"	8.47495607026127	3.37906214994111
"33"	4.77386198602879	3.11126790877258
"34"	4.71520474857918	2.72385102321099
"35"	7.21385173006279	3.92438837857937
"36"	7.08386056709651	2.3304521903373
"37"	4.36760582584994	2.18836068087262
"38"	6.78445599216464	3.15329153177931
"39"	4.70686873378988	2.737379041686
"40"	4.40730232605057	2.26757968049858
"41"	3.71461788009441	2.6984420906581
"42"	4.08707505279158	3.04910141046853
"43"	4.33619525969972	2.34301687266589
"44"	5.28335863859865	1.72999637180351
"45"	4.72480354753587	4.06357598191242
"46"	3.92512931484428	1.63250139256632
"47"	4.58652675981976	2.67193271118767
"48"	4.01637422882409	3.14486976708323
"49"	7.11479575729143	2.55960555080296
"50"	6.84795439084386	3.56785416974755
"51"	5.38768094018666	4.88234371141308
"52"	6.49594480799048	2.12482461408412
"53"	4.03394368984905	4.08538472864064
"54"	3.30633039973437	2.35893447202898
"55"	3.9718041378127	3.15048088010784
"56"	7.2492247811009	2.51444958617696
"57"	4.61425417310901	3.2314568107026
"58"	7.36608956650035	2.85634925253633
"59"	5.64935741428376	1.90658609309839
"60"	4.94551128516986	3.47603134163608
"61"	4.69232042712948	3.75444880330956
"62"	5.34243606684781	3.67338372318959
"63"	5.04263202405497	2.8667308145116
"64"	6.78779039920638	2.81358248419103
"65"	5.46202996200372	5.28353155295211
"66"	4.83300405302191	3.6753539598981
"67"	5.3444093369322	4.67482403398406
"68"	7.26028515524414	3.25456474773877
"69"	5.36169124205533	1.86926603299039
"70"	5.85902638341717	4.34220419388494
"71"	3.99003633699414	2.89199500156356
"72"	4.82356085627347	5.43253309377391
"73"	4.24916442992436	4.39490831339599
"74"	4.96756539291457	2.89899796401308
"75"	6.62670542149822	3.09128953488887
"76"	3.4523726471092	4.37479156961212
"77"	6.43796324416925	2.83023097190845
"78"	5.88520798252242	7.0967684236904
"79"	6.23433173355545	2.39567720174204
"80"	5.06723751543637	3.41800954953706
"81"	6.51202775371239	3.21936266234575
"82"	4.14305743053692	2.93764924897107
"83"	5.20038634210552	2.58582920486394
"84"	5.55800182451085	4.69591214283505
"85"	4.70725065163055	3.59795056826458
"86"	3.88664081517012	4.54442459432293
"87"	5.73691503937131	1.96047852488423
"88"	3.9280987255263	2.50981535718038
"89"	7.10717605317948	3.19743117234362
"90"	5.80713202124217	3.15234559468177
"91"	6.31750749390276	7.62099536338949
"92"	5.89465057466498	6.42601617147221
"93"	4.81743507763802	3.18667974825169
"94"	5.44993598207479	2.46917723618927
"95"	4.40844479896971	5.58151541004192
"96"	3.95746920562158	2.86166808215076
"97"	4.24697292169684	3.54997599337235
"98"	4.49280845261939	1.41681329334068
"99"	4.795142377454	3.65227306505677
"100"	5.80655255190561	3.44001490582204
