3.155264	3.527058	3.652732	3.787118	3.868959
3.913353	3.977706	3.992939	4.025358	4.038402
4.103571	4.166764	4.189041	4.197078	4.311221
4.317238	4.355287	4.381557	4.390781	4.396665
4.433938	4.635755	4.638102	4.677741	4.682634
4.689299	4.689699	4.709178	4.710092	4.723924
4.741593	4.773542	4.814665	4.852069	4.870544
4.904787	4.937905	4.94375	4.94394	5.000667
5.013131	5.040892	5.068964	5.074092	5.078515
5.089309	5.139352	5.15446	5.160686	5.199413
5.260543	5.296755	5.300871	5.328846	5.350178
5.390785	5.396819	5.403377	5.447656	5.457146
5.476598	5.484192	5.566717	5.66827	5.675912
5.689343	5.70369	5.760661	5.805586	5.832967
5.863434	5.87274	5.906645	5.917006	5.929862
5.93492	6.018147	6.141018	6.184768	6.252424
6.272233	6.280213	6.303625	6.452035	6.468242
6.541284	6.55218	6.65424	6.742117	6.782726
6.976986	7.103557	7.13079	7.161312	7.239927
7.28336	7.455597	7.544246	8.160832	8.180091
