"","upper","lower","day"
"antigen",0.636371829367999,0.466675478750971,45
"cohort",0.826322021767733,0.704044922962853,45
"assay_date",0.84267137839674,0.728117634582801,45
"IgG1",0.5846185705925,0.413046658975334,45
"IgG2ac",0.684276512836252,0.520076231451426,45
"IgG2b",0.726392117918014,0.570342040228716,45
