"","upper","lower","day"
"IgG1",0.469715020004384,0.306946108825907,"29"
"IgG2ac",0.27572932801828,0.159910698765979,"29"
"IgG2b",0.434390925979861,0.277458104445219,"29"
"IgG3",0.456908598370782,0.296099503819651,"29"
"IgM",0.739764373129131,0.587004808748302,"29"
"TotalG",0.274370123347728,0.158997086837652,"29"
