"RIX","ID","day","dam","sire","isotype","antigen_virus","antigen","assay_date","virus","cohort","RIX_ID","AUC"
"CC001xCC055","43","10","13140","16680","IgG1","Influenza","HA","2014_09_17","Influenza","7_14vii","13140x16680_43",0.167212125471967
"CC001xCC055","47","10","13140","16680","IgG2ac","Influenza","HA","2014_09_17","Influenza","7_14vii","13140x16680_47",3.87357059673532
"CC001xCC055","47","10","13140","16680","TotalG","Influenza","HA","2014_09_17","Influenza","7_14vii","13140x16680_47",4.07313923297116
"CC001xCC055","47","10","13140","16680","IgM","Influenza","HA","2014_09_17","Influenza","7_14vii","13140x16680_47",0.201401596212598
"CC001xCC055","47","10","13140","16680","IgG3","Influenza","HA","2014_09_17","Influenza","7_14vii","13140x16680_47",0.123476897240774
"CC001xCC055","47","10","13140","16680","IgG1","Influenza","HA","2014_09_17","Influenza","7_14vii","13140x16680_47",0.011931363764159
"CC001xCC055","47","10","13140","16680","IgG2b","Influenza","HA","2014_09_17","Influenza","7_14vii","13140x16680_47",0.951612825628781
"CC001xCC074","102","15","13140","3015","IgG2ac","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_102",3.54882117067669
"CC001xCC074","102","15","13140","3015","IgG3","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_102",1.61097199674699
"CC001xCC074","102","15","13140","3015","IgG1","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_102",3.60800420063892
"CC001xCC074","102","15","13140","3015","IgG2b","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_102",3.33332450307286
"CC001xCC074","102","15","13140","3015","IgM","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_102",0.0363005320708659
"CC001xCC074","145","45","13140","3015","IgG2b","Influenza","HA","2013_12_05","Influenza","3_13iii","13140x3015_145",8.43195863934929
"CC001xCC074","145","45","13140","3015","IgG1","Influenza","HA","2013_12_05","Influenza","3_13iii","13140x3015_145",8.25384757801906
"CC001xCC074","145","45","13140","3015","IgM","Influenza","HA","2013_12_05","Influenza","3_13iii","13140x3015_145",0.0778005320708663
"CC001xCC074","145","45","13140","3015","IgG3","Influenza","HA","2013_12_05","Influenza","3_13iii","13140x3015_145",1.34678563438858
"CC001xCC074","145","45","13140","3015","IgG2ac","Influenza","HA","2013_12_05","Influenza","3_13iii","13140x3015_145",8.89430492891072
"CC001xCC074","148","45","13140","3015","IgM","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_148",0.138676141155962
"CC001xCC074","148","45","13140","3015","IgG2ac","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_148",0.128326519198368
"CC001xCC074","148","45","13140","3015","IgG3","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_148",0.00867969756607528
"CC001xCC074","148","45","13140","3015","IgG1","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_148",0.0120784094103975
"CC001xCC074","148","45","13140","3015","IgG2b","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_148",0.0138038644670334
"CC001xCC074","149","45","13140","3015","IgM","Influenza","HA","2013_12_03","Influenza","3_13iii","13140x3015_149",0.0400293195236694
"CC001xCC074","149","45","13140","3015","IgG1","Influenza","HA","2013_12_03","Influenza","3_13iii","13140x3015_149",6.12920098040071
"CC001xCC074","149","45","13140","3015","IgG2ac","Influenza","HA","2013_12_03","Influenza","3_13iii","13140x3015_149",8.17099484767925
"CC001xCC074","149","45","13140","3015","IgG3","Influenza","HA","2013_12_03","Influenza","3_13iii","13140x3015_149",0.297862279500426
"CC001xCC074","149","45","13140","3015","IgG2b","Influenza","HA","2013_12_03","Influenza","3_13iii","13140x3015_149",8.39523007591044
"CC001xCC074","163","10","13140","3015","IgG2ac","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_163",3.69109325146665
"CC001xCC074","163","10","13140","3015","IgG2ac","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_163",3.08739400755146
"CC001xCC074","163","10","13140","3015","IgM","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_163",0.453642817194288
"CC001xCC074","163","10","13140","3015","IgG3","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_163",0.230358947104259
"CC001xCC074","163","10","13140","3015","TotalG","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_163",5.28864878213176
"CC001xCC074","163","10","13140","3015","IgG1","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_163",4.84152461523081
