"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","halfmax","last_positive"
"CC001xCC074","163","13140x3015_163","10","Influenza","3_13iii","IgG1","Flu","HA","2013_12_03",3,5
"CC001xCC074","163","13140x3015_163","10","Influenza","3_13iii","IgG2ac","Flu","HA","2013_12_03",2,4
"CC001xCC074","163","13140x3015_163","10","Influenza","3_13iii","IgG2b","Flu","HA","2013_12_03",2,5
"CC001xCC074","163","13140x3015_163","10","Influenza","3_13iii","IgG3","Flu","HA","2013_12_03",0,1
"CC001xCC074","163","13140x3015_163","10","Influenza","3_13iii","IgM","Flu","HA","2013_12_03",0,2
"CC001xCC074","163","13140x3015_163","10","Influenza","3_13iii","TotalG","Flu","HA","2013_12_03",3,5
"CC001xCC074","176","13140x3015_176","7","Influenza","4_13iv","IgG1","Flu","HA","2013_12_05",0,0
"CC001xCC074","176","13140x3015_176","7","Influenza","4_13iv","IgG2ac","Flu","HA","2013_12_05",0,0
"CC001xCC074","176","13140x3015_176","7","Influenza","4_13iv","IgG2b","Flu","HA","2013_12_05",0,0
"CC001xCC074","176","13140x3015_176","7","Influenza","4_13iv","IgG3","Flu","HA","2013_12_05",0,0
"CC001xCC074","176","13140x3015_176","7","Influenza","4_13iv","IgM","Flu","HA","2013_12_05",0,0
"CC001xCC074","177","13140x3015_177","7","Influenza","4_13iv","IgG1","Flu","HA","2013_12_03",0,0
"CC001xCC074","177","13140x3015_177","7","Influenza","4_13iv","IgG2ac","Flu","HA","2013_12_03",0,0
"CC001xCC074","177","13140x3015_177","7","Influenza","4_13iv","IgG2b","Flu","HA","2013_12_03",0,0
"CC001xCC074","177","13140x3015_177","7","Influenza","4_13iv","IgG3","Flu","HA","2013_12_03",0,0
"CC001xCC074","177","13140x3015_177","7","Influenza","4_13iv","IgM","Flu","HA","2013_12_03",0,0
"CC001xCC074","177","13140x3015_177","7","Influenza","4_13iv","TotalG","Flu","HA","2013_12_03",0,0
"CC001xCC074","179","13140x3015_179","10","Influenza","3_13iii","IgG1","Flu","HA","2014_01_13",2,5
"CC001xCC074","179","13140x3015_179","10","Influenza","3_13iii","IgG2ac","Flu","HA","2014_01_13",2,4
"CC001xCC074","179","13140x3015_179","10","Influenza","3_13iii","IgG2b","Flu","HA","2014_01_13",2,5
"CC001xCC074","179","13140x3015_179","10","Influenza","3_13iii","IgG3","Flu","HA","2014_01_13",1,3
"CC001xCC074","179","13140x3015_179","10","Influenza","3_13iii","IgM","Flu","HA","2014_01_13",0,2
"CC001xCC074","180","13140x3015_180","10","Influenza","3_13iii","IgG1","Flu","HA","2013_12_03",0,3
"CC001xCC074","180","13140x3015_180","10","Influenza","3_13iii","IgG2ac","Flu","HA","2013_12_03",2,4
"CC001xCC074","180","13140x3015_180","10","Influenza","3_13iii","IgG2b","Flu","HA","2013_12_03",1,4
"CC001xCC074","180","13140x3015_180","10","Influenza","3_13iii","IgG3","Flu","HA","2013_12_03",0,2
"CC001xCC074","180","13140x3015_180","10","Influenza","3_13iii","IgM","Flu","HA","2013_12_03",0,2
"CC001xCC074","180","13140x3015_180","10","Influenza","3_13iii","TotalG","Flu","HA","2013_12_03",3,5
"CC002xCC011","13","15156x3252_13","45","Influenza","10_13x","IgG1","Flu","HA","2013_12_19",0,4
"CC002xCC011","13","15156x3252_13","45","Influenza","10_13x","IgG2ac","Flu","HA","2013_12_19",4,7
"CC002xCC011","13","15156x3252_13","45","Influenza","10_13x","IgG2b","Flu","HA","2013_12_19",3,6
"CC002xCC011","13","15156x3252_13","45","Influenza","10_13x","IgG3","Flu","HA","2013_12_19",0,3
"CC002xCC011","13","15156x3252_13","45","Influenza","10_13x","IgM","Flu","HA","2013_12_19",0,0
"CC002xCC011","13","15156x3252_13","45","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",4,7
