RI.StrainID,Animal.ID,Sex,IgM_ug,Total.IgG_ug,IgG1_ug,IgG2a_ug,IgG2b_ug,IgG2c_ug,IgG3_ug,IgA_ug,IgG2ac_ug
CC026.GeniUnc,704,Female,2.764624398,0.042969073,1.875639937,1.935003151,1.868644438,NA,2.335457901,2.181271772,1.935791548
CC026.GeniUnc,705,Female,2.861713588,0.074816441,1.951337519,1.908485019,1.890979597,NA,2.369586891,2.59835271,1.909053668
CC027.GeniUnc,705,Female,2.851197176,0.780173244,3.093316601,2.948412966,2.468790262,NA,2.891035415,2.295127085,2.948408315
CC027.GeniUnc,706,Female,2.251151343,0.856849679,3.166637294,2.93906975,2.507855872,NA,2.535547279,2.142076461,2.939114651
CC031.GeniUnc,417,Female,2.067814511,0.894316063,2.646893624,NA,3.055607652,3.201041896,2.389520466,2.852845818,3.20120278
CC031.GeniUnc,418,Female,1.966141733,0.927062243,2.83524654,NA,3.09184275,3.130140706,2.432809005,2.561816664,3.130328195
CC033.GeniUnc,715,Female,3.027390385,0.925879089,2.466571072,2.937768567,2.269979677,NA,2.521922245,2.228143608,2.937809585
CC033.GeniUnc,716,Female,2.845470133,0.899929883,3.121329998,3.163846876,2.504606771,NA,2.249687428,2.665956029,3.163861876
CC030.GeniUnc,823,Female,2.545059585,1.793902086,3.675915755,NA,3.454707693,3.179005708,2.68069803,2.958850452,3.179118052
CC030.GeniUnc,824,Female,2.505421328,1.690674427,3.868609176,NA,3.379812956,3.014478535,2.493597449,2.888235673,3.014645095
CC030.GeniUnc,899,Female,2.721728199,0.933537902,3.671691094,NA,3.13411333,3.141198845,2.070037867,2.849726444,3.141302343
CC030.GeniUnc,901,Female,2.617838748,0.675778342,3.10704029,NA,2.996073654,3.050611731,1.726727209,2.771807879,3.050749381
CC030.GeniUnc,1235,Female,2.351796307,1.348226956,3.872977449,NA,3.529481686,3.272421826,2.367542274,2.822168079,3.272531882
CC08.GeniUnc,808,Female,2.190051418,0.410777233,2.554731377,1.679427897,2.061829307,1.103803721,2.027757205,2.459543258,1.781662357
CC08.GeniUnc,809,Female,2.191451014,0.711807229,2.819478128,1.980911938,2.471878199,0.176091259,2.191730393,2.214313897,1.987882249
CC023.GeniUnc,870,Female,2.314499228,0.206286044,1.966610987,2.684576087,1.733999287,NA,1.818885415,2.59670703,2.684605142
CC023.GeniUnc,898,Female,1.887054378,0.194791758,2.282622113,2.604873771,1.692846919,NA,0.740362689,2.526597709,2.604912135
CC022.GeniUnc,617,Female,2.285782274,0.670245853,3.103906298,2.307282047,2.020361283,NA,2.209246849,2.516667559,2.307147695
CC061.GeniUnc,1071,Female,3.177421057,1.208978517,3.250078288,2.827563111,2.30427505,NA,2.836450714,2.819609733,2.827611746
CC061.GeniUnc,1072,Female,2.726238047,1.0309234,3.271748699,2.537315273,2.05804623,NA,2.673573796,2.791199246,2.537341621
CC038.GeniUnc,1007,Female,2.041392685,0.751894688,3.255995727,2.516535374,2.07371835,NA,2.144885418,1.947433722,2.516519155
CC056.GeniUnc,474,Female,2.537063143,0.641672373,2.655042341,1.812244697,2.578065884,2.803525396,2.154119526,2.315760491,2.845703133
CC056.GeniUnc,475,Female,2.765966425,0.179551791,1.691965103,1.926856709,2.014520539,NA,2.162265614,2.21031852,1.927097533
CC003.Unc,4378,Female,2.670709595,0.515873844,2.790285164,2.717587297,1.815577748,NA,2.582063363,2.109240969,2.717575927
CC003.Unc,4379,Female,2.488832634,0.259115844,2.673849977,1.887054378,1.812913357,NA,2.025305865,2.211654401,1.887197063
CC001.Unc,4742,Female,2.48756256,0.39707055,2.763652571,1.826074803,1.525044807,0.77815125,1.075546961,2.224014811,1.86338495
CC007.Unc,3374,Female,2.369401414,0.182129214,2.663700925,NA,2.339451441,2.262213705,1.551449998,2.726401162,2.263267237
CC007.Unc,3375,Female,2.369401414,0.047664195,2.355259906,NA,1.929418926,2.355259906,0.897627091,2.419790586,2.355800146
CC065.Unc,3527,Female,1.710963119,0.109915863,1.936010796,1.795880017,1.46834733,1.071882007,1.688419822,1.951823035,1.871173656
CC065.Unc,3528,Female,1.910090546,NA,2.049605613,0.826074803,1.100370545,0.176091259,1.711807229,2.260786669,0.910977856
CC039.Unc,3640,Female,2.424391554,NA,2.503654519,1.994317153,1.354108439,NA,2.232742063,2.682415862,1.99438017
CC039.Unc,3660,Female,2.201123897,0.283753383,2.252610341,2.411619706,1.357934847,NA,1.880813592,2.353723938,2.411740541
CC039.Unc,3660,Female,2.336859821,0.364926034,2.368472838,2.613418945,1.342422681,NA,2.045714059,2.35564305,2.613245642
CC002.Unc,4429,Female,2.031812271,0.433449794,2.640978057,0.041392685,2.353723938,1.771587481,2.237794993,2.234264124,1.77924719
CC002.Unc,4429,Female,2.200303183,0.569022586,2.716754357,NA,2.564784385,1.783903579,2.398981067,2.358505911,1.787257444
CC002.Unc,4430,Female,2.617734035,0.330819466,2.829753919,2.314288661,1.766412847,NA,2.101747074,2.068185862,2.314248749
CC009.Unc,3082,Female,2.680426171,0.808953299,2.890029586,1.855519156,2.663983455,2.934094268,2.376759395,2.393399695,2.968888483
CC009.Unc,3102,Female,2.168202747,0.476251796,3.09233459,1.953759692,1.924795996,1.356025857,1.565847819,2.412460547,2.051220169
CC059.TauUnc,4435,Female,2.297322714,0.260071388,2.745465169,1.979548375,1.691965103,NA,1.929418926,1.941014244,1.979579339
CC059.TauUnc,4436,Female,2.375663614,0.617838748,3.186419489,2.834293512,2.367169489,1.436162647,2.667172672,2.154728207,2.851287546
CC070.TauUnc,3890,Female,1.923244019,NA,2.27485032,1.127104798,1.041392685,0.079181246,0.633468456,2.509471352,1.163940772
CC037.TauUnc,844,Female,2.176958981,0.586249639,3.074267743,NA,2.204933522,2.831101565,1.627365857,2.497482537,2.831322854
CC037.TauUnc,845,Female,2.187520721,0.576916956,3.042417988,NA,2.194791758,2.80706124,1.682145076,2.354492601,2.807326533
CC004.TauUnc,4173,Female,2.021189299,0.575187845,2.741151599,2.6658623,1.936010796,NA,1.865103975,1.968482949,2.665958486
CC004.TauUnc,4173,Female,2.248708736,0.737987326,3.015946244,2.91481898,2.32776749,NA,2.174350597,2.07114529,2.914751658
CC004.TauUnc,4174,Female,2.200576927,0.62248343,2.994376551,3.020502571,2.441300715,NA,2.352375495,2.12515583,3.020509683
CC049.TauUnc,4151,Female,2.631342286,1.103735323,3.783939293,NA,3.05838806,3.030032705,2.656289901,2.299289334,3.030246228
CC049.TauUnc,4152,Female,2.435047641,0.812646016,3.273857435,NA,2.510008513,2.214313897,1.63447727,2.31386722,2.215450215
CC041.TauUnc,5129,Female,2.289365952,NA,1.292256071,0.672097858,1.053078443,NA,0.342422681,1.865103975,0.672866325
CC041.TauUnc,5130,Female,1.733197265,NA,1.096910013,NA,0.875061263,NA,NA,1.942008053,NA
CC019.TauUnc,6794,Female,2.339053736,0.502836639,3.065392962,2.303196057,1.900367129,NA,1.780317312,2.451172158,2.303451299
CC019.TauUnc,6795,Female,2.274157849,0.447468131,2.922569769,2.282622113,2.296884476,NA,1.769377326,2.42553422,2.282830288
CC040.TauUnc,4391,Female,2.758609143,0.411956238,3.13605435,NA,2.272305844,2.593507589,2.276231958,2.310905629,2.59382009
CC040.TauUnc,4431,Female,2.863144346,0.365300749,2.982678193,NA,2.368286885,2.618780025,2.477410688,2.190331698,2.619260861
CC055.TauUnc,3927,Female,2.484584529,0.137037455,1.966141733,2.01745073,1.439332694,NA,1.401400541,1.826074803,2.017657652
CC006.TauUnc,4621,Female,2.739651444,0.493458051,2.990915755,2.687796411,2.25358029,NA,2.838849091,2.379124146,2.68785893
CC006.TauUnc,4622,Female,2.842234686,0.769081787,3.63124078,2.25791845,2.377306251,NA,3.370290982,2.583765368,2.257997609
CC068.TauUnc,4026,Female,2.875350697,0.756788199,3.319064398,3.182186317,2.216957207,NA,2.615950052,2.080987047,3.182195794
CC068.TauUnc,4027,Female,2.820398523,0.64028263,3.439601084,2.814979684,1.945960704,NA,2.177824972,2.006037955,2.8149935
CC071.TauUnc,3735,Female,2.238798563,0.190331698,2.062581984,2.570776369,0.86923172,NA,1.840106094,1.802773725,2.570791309
CC071.TauUnc,3737,Female,2.057666104,0.166430114,1.978636948,1.943988875,2.037824751,NA,1.783903579,1.890421019,1.94394893
CC071.TauUnc,3764,Female,2.117271296,0.322219295,2.680154142,2.405858399,1.687528961,NA,1.719331287,2.027757205,2.405975091
