"RIX","ID","day","virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC006xCC039","39","45","Influenza","HA.1","12_15xii","2016_12_23",2.64575131106459,49,25,2.23606797749979,-Inf,64
"CC006xCC039","42","45","Influenza","HA","12_15xii","2016_12_09",1.73205080756888,49,16,1.73205080756888,-Inf,49
"CC006xCC039","42","45","Influenza","HA.1","12_15xii","2016_12_23",2,49,16,1.73205080756888,-Inf,49
"CC006xCC039","43","45","Influenza","HA","12_15xii","2016_12_09",2.64575131106459,64,16,1.73205080756888,-Inf,64
"CC006xCC039","43","45","Influenza","HA.1","12_15xii","2016_12_23",2.64575131106459,49,16,2,-Inf,64
"CC007xCC070","105","45","Influenza","HA","10_15x","2016_12_09",2.64575131106459,36,36,2.23606797749979,-Inf,64
"CC007xCC070","106","45","Influenza","HA","10_15x","2016_12_09",2.44948974278318,36,25,1.73205080756888,-Inf,49
"CC007xCC070","106","45","Influenza","HA.1","10_15x","2016_12_23",2.44948974278318,49,25,1.73205080756888,-Inf,49
"CC007xCC070","121","45","Influenza","HA","11_15xi","2016_12_23",2.64575131106459,16,25,0,-Inf,49
"CC007xCC075","40","45","Influenza","HA","11_15xi","2016_12_23",2.23606797749979,64,36,1.73205080756888,-Inf,49
"CC008xCC010","83","45","Influenza","HA","4_15iv","2016_01_13",0,49,36,0,0,64
"CC008xCC010","86","45","Influenza","HA","4_15iv","2016_01_13",1.73205080756888,36,36,0,-Inf,49
"CC008xCC018","52","45","Influenza","HA","11_15xi","2016_12_23",2.64575131106459,64,49,2,-Inf,64
"CC008xCC018","53","45","Influenza","HA","11_15xi","2016_12_23",2.64575131106459,49,49,2.23606797749979,-Inf,64
"CC009xCC040","24","45","Influenza","HA","12_13xii","2014_05_26",2.44948974278318,64,49,2,-Inf,64
"CC010xCC015","12","45","Influenza","HA","10_13x","2013_12_19",2.23606797749979,64,36,1.73205080756888,-Inf,NA
"CC010xCC015","12","45","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,64
"CC010xCC015","17","45","Influenza","HA","10_13x","2014_01_13",2.44948974278318,64,36,2.44948974278318,-Inf,NA
"CC010xCC015","17","45","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,64
"CC010xCC015","18","45","Influenza","HA","10_13x","2013_12_19",2.64575131106459,64,49,2,-Inf,NA
"CC010xCC015","18","45","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,64
"CC010xCC015","7","45","Influenza","HA","10_13x","2013_12_19",2.64575131106459,64,36,2.23606797749979,0.301029995663981,NA
"CC010xCC015","7","45","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,49
"CC010xCC060","33","45","Influenza","HA","12_15xii","2016_12_09",2.44948974278318,64,36,2.23606797749979,-Inf,64
"CC010xCC060","33","45","Influenza","HA.1","12_15xii","2016_12_23",2.64575131106459,64,49,2.23606797749979,-Inf,64
"CC010xCC060","34","45","Influenza","HA","12_15xii","2016_12_09",2.23606797749979,64,25,2.23606797749979,-Inf,49
"CC010xCC060","34","45","Influenza","HA.1","12_15xii","2016_12_23",2.23606797749979,64,25,2.23606797749979,-Inf,64
"CC010xCC060","38","45","Influenza","HA","12_15xii","2016_12_09",2.64575131106459,64,36,2.23606797749979,-Inf,64
"CC010xCC060","38","45","Influenza","HA.1","12_15xii","2016_12_23",2.64575131106459,64,36,2.23606797749979,-Inf,64
"CC010xCC060","40","45","Influenza","HA","12_15xii","2016_12_09",2.44948974278318,64,25,2,-Inf,64
"CC010xCC060","40","45","Influenza","HA.1","12_15xii","2016_12_23",2.44948974278318,64,36,2.23606797749979,-Inf,64
"CC011xCC042","67","45","Influenza","HA","7_13vii","2013_12_19",2.44948974278318,64,36,1,-Inf,NA
"CC011xCC042","67","45","Influenza","HA.1","7_13vii","2013_12_12",2.82842712474619,NA,NA,NA,NA,NA
"CC011xCC042","78","45","Influenza","HA","7_13vii","2014_01_13",2.82842712474619,64,49,2.23606797749979,-Inf,NA
"CC011xCC042","78","45","Influenza","HA.1","7_13vii","2013_12_12",2.82842712474619,NA,NA,NA,NA,NA
"CC011xCC042","96","45","Influenza","HA","7_13vii","2013_12_19",2.23606797749979,49,49,2,-Inf,NA
"CC011xCC042","96","45","Influenza","HA.1","7_13vii","2013_12_12",2.64575131106459,NA,NA,NA,NA,NA
"CC012xCC032","147","45","Influenza","HA","10_13x","2013_12_19",1.73205080756888,64,49,1.73205080756888,0,NA
"CC012xCC032","147","45","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,64
"CC012xCC032","148","45","Influenza","HA","10_13x","2013_12_19",2.44948974278318,64,49,2.23606797749979,-Inf,NA
"CC012xCC032","149","45","Influenza","HA","10_13x","2013_12_19",2.23606797749979,64,49,1.73205080756888,-Inf,NA
"CC012xCC032","149","45","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,64
"CC012xCC038","111","45","Influenza","HA","9_15ix","2016_12_09",2.82842712474619,64,64,2.64575131106459,-Inf,64
"CC012xCC038","111","45","Influenza","HA.1","9_15ix","2016_12_14",2.82842712474619,64,64,2.44948974278318,NA,64
"CC012xCC038","117","45","Influenza","HA","9_15ix","2016_12_09",2.82842712474619,64,64,2.23606797749979,-Inf,64
"CC012xCC038","117","45","Influenza","HA.1","9_15ix","2016_12_14",2.82842712474619,64,64,2.23606797749979,NA,64
"CC012xCC038","128","45","Influenza","HA","9_15ix","2016_12_14",2.44948974278318,49,36,2,NA,64
"CC012xCC038","128","45","Influenza","HA.1","9_15ix","2016_12_14",2.64575131106459,64,49,2,NA,64
