"RIX","dam","sire","ID","day","virus","antigen_virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"X13067x16912",13067,16912,136,45,"Influenza","Influenza","HA","11_13xi","2014_05_20",2.43161479645016,85.7032505758646,9.8738564551378,0.946030188110672,2.22986672421978,146.002188760373
"X13067x16912",13067,16912,137,45,"Influenza","Influenza","HA","11_13xi","2014_05_20",1.44623977722666,124.381822211084,10.116591683369,1.88742665067974,2.58970472089139,158.714919135061
"X13067x16912",13067,16912,138,45,"Influenza","Influenza","HA","11_13xi","2014_05_20",1.82048916223711,111.065149753848,8.96228471051975,1.20997418344385,2.14744037373392,148.373474785204
"X13067x5306",13067,5306,76,45,"Influenza","Influenza","HA","2_15ii","2015_05_19",0.697181287348965,116.117167380223,10.1344808460527,1.61674049190293,1.45548196983462,130.469049253641
"X13067x5306",13067,5306,77,45,"Influenza","Influenza","HA","2_15ii","2015_05_19",2.25232334078854,108.048145793778,10.228699636317,2.67503251123425,0.491829228319033,129.703465517749
"X13067x5306",13067,5306,78,45,"Influenza","Influenza","HA","2_15ii","2015_05_19",1.46932653638321,112.684118476221,9.4164846264768,2.24757872775603,1.26170009356085,128.738347676154
"X13067x5306",13067,5306,79,45,"Influenza","Influenza","HA","2_15ii","2015_05_19",1.53424032124131,92.5561092449162,10.3032256234445,2.69733920465025,0.742104668299927,125.78029397484
"X13067x5306",13067,5306,80,45,"Influenza","Influenza","HA","2_15ii","2015_05_19",1.45426408818205,115.719308094231,10.4238433495671,2.42422583617786,0.662030071107645,132.208614843059
"X13067x5306",13067,5306,87,45,"Influenza","Influenza","HA","2_15ii","2015_05_19",1.6161232225992,116.51649112555,10.5122220670344,2.42420022644402,1.42550045903264,131.921902749996
"X13067x5306",13067,5306,88,45,"Influenza","Influenza","HA","2_15ii","2015_05_19",1.97274452851293,88.2363849675775,10.2501081213359,2.73217183790556,1.65231588645196,125.981669901095
"X13067x5306",13067,5306,91,45,"Influenza","Influenza","HA","2_15ii","2015_05_19",1.7574610802378,125.726804722648,10.8384930555677,2.76677914122383,1.6186977585865,134.050241585129
"X13140x3015",13140,3015,145,45,"Influenza","Influenza","HA","3_13iii","2013_12_05",2.87295102255835,79.1086601684455,8.43195863934929,1.16051093678111,3.58516143754861,NA
