"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","AUC"
"CC003xCC051","100","13067x16912_100","7","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0.0524344721463805
"CC003xCC051","101","13067x16912_101","7","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0.0775031083822221
"CC003xCC051","101","13067x16912_101","7","Influenza","10_13x","TotalG","Flu","HA.1","2014_01_17",0.566657463049613
"CC003xCC051","109","13067x16912_109","7","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0.161349397943649
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","TotalG","Flu","HA","2014_05_20",12.0831365448038
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","IgG2b","Flu","HA","2014_05_20",9.8738564551378
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","IgM","Flu","HA","2014_05_20",0.20111394569851
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","IgG2ac","Flu","HA","2014_05_20",9.25760501295365
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","IgG3","Flu","HA","2014_05_20",0.894973116816714
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","IgG1","Flu","HA","2014_05_20",5.91275051831534
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","IgG2ac","Flu","HA","2014_05_20",11.152659871577
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","IgG2b","Flu","HA","2014_05_20",10.116591683369
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","IgG3","Flu","HA","2014_05_20",3.56237936169613
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","TotalG","Flu","HA","2014_05_20",12.5982109497762
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","IgM","Flu","HA","2014_05_20",0.14910750492012
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","IgG1","Flu","HA","2014_05_20",2.09160949323261
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","IgG3","Flu","HA","2014_05_20",1.4640375246006
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","IgG1","Flu","HA","2014_05_20",3.31418078982278
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","IgG2b","Flu","HA","2014_05_20",8.96228471051975
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","IgG2ac","Flu","HA","2014_05_20",10.5387451697936
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","IgM","Flu","HA","2014_05_20",0.216849173929702
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","TotalG","Flu","HA","2014_05_20",12.1808651082427
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","IgG3","Flu","HA","2014_05_20",1.67177717748467
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","TotalG","Flu","HA","2014_05_20",3.6987818261515
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","IgG2b","Flu","HA","2014_05_20",1.24618034179489
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","IgG2ac","Flu","HA","2014_05_20",1.52967322897467
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","IgG1","Flu","HA","2014_05_20",0.0833331839907027
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","IgM","Flu","HA","2014_05_20",0.384721226604686
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","IgG1","Flu","HA","2014_05_20",0.0254640156839958
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","IgM","Flu","HA","2014_05_20",0.158718566250355
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","IgG2ac","Flu","HA","2014_05_20",3.83002038677886
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","IgG2b","Flu","HA","2014_05_20",2.13991089354624
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","TotalG","Flu","HA","2014_05_20",4.86492887179774
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","IgG3","Flu","HA","2014_05_20",0.234470008434493
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","IgG3","Flu","HA","2014_05_20",0.642141921138505
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","IgG2b","Flu","HA","2014_05_20",0.659939568841094
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","IgM","Flu","HA","2014_05_20",0.149015989939
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","IgG2ac","Flu","HA","2014_05_20",1.89068854687183
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","IgG1","Flu","HA","2014_05_20",0.0220097731745564
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","TotalG","Flu","HA","2014_05_20",2.67318053799582
"CC003xCC051","36","13067x16912_36","15","Influenza","8_13viii","IgG3","Flu","HA","2013_12_03",2.1616394569851
"CC003xCC051","36","13067x16912_36","15","Influenza","8_13viii","IgM","Flu","HA","2013_12_03",0.568714337798404
"CC003xCC051","36","13067x16912_36","15","Influenza","8_13viii","IgG1","Flu","HA.1","2013_12_03",0.236626827255288
"CC003xCC051","36","13067x16912_36","15","Influenza","8_13viii","IgG2b","Flu","HA","2013_12_03",2.62547574935802
"CC003xCC051","36","13067x16912_36","15","Influenza","8_13viii","IgG1","Flu","HA","2013_12_12",4.41481870652328
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgG1","Flu","HA.1","2013_12_03",0.775752982468739
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgM","Flu","HA","2013_12_03",0.147375609085096
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgG1","Flu","HA","2013_12_12",3.36510635703737
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","TotalG","Flu","HA","2013_12_03",3.27353772080153
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgG2b","Flu","HA","2013_12_03",2.38193976504202
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgG2ac","Flu","HA","2013_12_03",2.60885802323545
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgG3","Flu","HA","2013_12_03",1.65516922453666
"CC003xCC062","44","13067x5306_44","7","Influenza","1_15i","IgG3","Flu","HA","2015_11_09",0.0905684122218951
"CC003xCC062","44","13067x5306_44","7","Influenza","1_15i","IgG1","Flu","HA","2015_11_09",0.0061012881556778
"CC003xCC062","44","13067x5306_44","7","Influenza","1_15i","IgG2b","Flu","HA","2015_11_09",0.197862279500425
"CC003xCC062","44","13067x5306_44","7","Influenza","1_15i","IgG2ac","Flu","HA","2015_11_09",0.203414701783322
"CC003xCC062","44","13067x5306_44","7","Influenza","1_15i","IgM","Flu","HA","2015_11_09",0.559054410595388
"CC003xCC062","44","13067x5306_44","7","Influenza","1_15i","TotalG","Flu","HA","2015_11_09",1.11937359295958
"CC003xCC062","53","13067x5306_53","7","Influenza","1_15i","TotalG","Flu","HA","2015_11_16",2.08406793638098
"CC003xCC062","53","13067x5306_53","7","Influenza","1_15i","IgG2b","Flu","HA","2015_11_16",0.264914477769376
"CC003xCC062","53","13067x5306_53","7","Influenza","1_15i","IgM","Flu","HA","2015_11_16",1.45900708500721
"CC003xCC062","53","13067x5306_53","7","Influenza","1_15i","IgG1","Flu","HA","2015_11_16",0.0363267432123138
"CC003xCC062","53","13067x5306_53","7","Influenza","1_15i","IgG2ac","Flu","HA","2015_11_16",0.274819854406033
"CC003xCC062","53","13067x5306_53","7","Influenza","1_15i","IgG3","Flu","HA","2015_11_16",0.261358947104259
"CC003xCC062","62","13067x5306_62","7","Influenza","1_15i","IgG2ac","Flu","HA","2015_11_09",0.11772523104269
"CC003xCC062","62","13067x5306_62","7","Influenza","1_15i","IgG3","Flu","HA","2015_11_09",0.0613789414812635
"CC003xCC062","62","13067x5306_62","7","Influenza","1_15i","IgG2b","Flu","HA","2015_11_09",0.188342733151313
"CC003xCC062","62","13067x5306_62","7","Influenza","1_15i","TotalG","Flu","HA","2015_11_09",0.847900252128926
"CC003xCC062","62","13067x5306_62","7","Influenza","1_15i","IgG1","Flu","HA","2015_11_09",0.00597712125471968
"CC003xCC062","62","13067x5306_62","7","Influenza","1_15i","IgM","Flu","HA","2015_11_09",0.560090394911392
"CC003xCC062","76","13067x5306_76","45","Influenza","2_15ii","IgG1","Flu","HA","2015_05_19",0.48606174742956
"CC003xCC062","76","13067x5306_76","45","Influenza","2_15ii","IgM","Flu","HA","2015_05_19",0.472048193830945
"CC003xCC062","76","13067x5306_76","45","Influenza","2_15ii","IgG2b","Flu","HA","2015_05_19",10.1344808460527
"CC003xCC062","76","13067x5306_76","45","Influenza","2_15ii","TotalG","Flu","HA","2015_05_19",11.4223049010977
"CC003xCC062","76","13067x5306_76","45","Influenza","2_15ii","IgG3","Flu","HA","2015_05_19",2.61384981815852
"CC003xCC062","76","13067x5306_76","45","Influenza","2_15ii","IgG2ac","Flu","HA","2015_05_19",10.775767600511
"CC003xCC062","77","13067x5306_77","45","Influenza","2_15ii","IgM","Flu","HA","2015_05_19",4.13400817726391
"CC003xCC062","77","13067x5306_77","45","Influenza","2_15ii","IgG2b","Flu","HA","2015_05_19",10.228699636317
"CC003xCC062","77","13067x5306_77","45","Influenza","2_15ii","IgG3","Flu","HA","2015_05_19",7.15579893616023
"CC003xCC062","77","13067x5306_77","45","Influenza","2_15ii","TotalG","Flu","HA","2015_05_19",11.3887429296542
"CC003xCC062","77","13067x5306_77","45","Influenza","2_15ii","IgG1","Flu","HA","2015_05_19",5.07296043146086
"CC003xCC062","77","13067x5306_77","45","Influenza","2_15ii","IgG2ac","Flu","HA","2015_05_19",10.3946210028927
