"","upper","lower","day"
"IgG1",0.332527177201165,0.199419848200597,"rechal"
"IgG2ac",0.208908218878935,0.116637361122933,"rechal"
"IgG2b",0.457211795307934,0.296354220182278,"rechal"
"IgG3",0.420577237139164,0.266285409472867,"rechal"
"IgM",0.640300562331746,0.470913309657461,"rechal"
"TotalG",0.286905229050208,0.167477733231968,"rechal"
